Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0.000918569,0.000284939,-0.000201784,0.000125098,-281.135004912,24,-232.010344147,-281.135004912,-359.199765628,34.7409753644,-1.10768353979,-1.39868161648,-1.83635228484,0.173981518609,24,4824,201,201.0,201,0.0,0.994057,-0.0140708,-0.998938,0.63052,-245.961653301,5,-214.327327827,-245.961653301,-287.03980306,26.1467496873,-0.97085704911,-1.2298082665,-1.71872363023,0.165502593162,10,2000,201,200.0,196,2.0,2000,0.023103668121621013,754.2700558993965,600.8381038310472,143.28256039717235,0.05420381878502667,9.990859629353508,0.0811150420922786,890.7713100267574,0.0001095128245651722,1.0,-0.0,-0.550295,-1.33166,-2.12364,0.310869,-1.3308,0.795826,0.0843373,-1.02165,0.347611,-1.14913e-05,-0.000846072,-0.00211958,0.000351113,0.00318994,0.00111134,-0.000479163,0.000812751,0.128094,0.127758,1000,0.000819027,0.000325837,-0.000152996,0.00019094,0.00155757,0.000618023,-0.000420361,0.000426281,1.00156,1.00062,0.99958,0.00042653
1,0.0042265,-0.00971732,-0.0315703,0.0108894,-273.778317484,24,-228.117662773,-273.778317484,-369.168505879,29.2878079089,-1.08541021942,-1.36208118151,-1.88916818167,0.147064556309,48,9648,201,201.0,201,0.0,0.996831,0.0149324,-0.991713,0.587319,-237.586258083,5,-219.967469001,-237.586258083,-286.129209802,24.9540616261,-0.933542501387,-1.18793129042,-1.71831372805,0.168455262268,15,3000,201,200.0,196,2.0,3000,0.010655603837221861,659.1030003549531,510.9597392810974,136.37245333986357,0.06289901304990053,11.63876591110602,0.0583268019836396,1550.6112903458998,0.0001604040153324604,0.7407480478286743,-1.007646083831787,-0.986183,-1.35776,-1.93545,0.154923,-0.339116,0.749555,-0.617349,-1.81764,0.517429,0.391367,-0.627188,-1.58605,0.499764,0.375661,-0.65261,-1.63355,0.499554,0.0315695,0.0310668,2000,0.00770184,-0.00883657,-0.0311657,0.0103433,-0.0890894,-0.127578,-0.175083,0.0160412,0.914764,0.880338,0.839387,0.0141006
2,0.0135667,-0.00563724,-0.0316962,0.0143271,-287.229845454,24,-233.741951299,-287.229845454,-335.520112754,26.4211184407,-1.11905237102,-1.42900420624,-1.72157967603,0.132839735209,72,14472,201,201.0,201,0.0,0.996234,-0.00749331,-0.996177,0.595643,-239.9361679,5,-222.06451238,-239.9361679,-254.767799522,12.0332263946,-0.97944994527,-1.1996808395,-1.50190842585,0.111659970551,20,4000,201,200.0,196,2.0,4000,0.010133334901183844,587.4946225078311,451.5007422841154,125.27529814001173,0.03169925999827683,10.629351156530902,0.04724217113107443,2138.711564300582,0.00015616114251315594,0.5487520098686218,-2.0198400020599365,-0.996381,-1.36579,-1.76626,0.14314,1.78591,-0.290452,-2.49624,-4.71165,1.0168,-0.305835,-2.51942,-4.69199,1.00868,-0.300625,-2.48846,-4.63996,1.00555,0.0380372,0.041883,3000,0.0146954,-0.00480546,-0.0288033,0.0130544,-0.0914429,-0.11633,-0.151776,0.00960681,0.912613,0.890222,0.85918,0.0085513
3,0.0233853,-0.023967,-0.0998687,0.0321948,-281.7841923,24,-231.019038524,-281.7841923,-447.122014238,41.0412278676,-1.09253587191,-1.40191140448,-2.28356183886,0.205212760903,96,19296,201,201.0,201,0.0,0.994605,-0.0274852,-0.998984,0.590394,-238.674418441,5,-211.505670338,-238.674418441,-277.631444454,28.5875999396,-0.874379202221,-1.19337209221,-1.62197645095,0.180952000812,25,5000,201,200.0,196,2.0,5000,0.011516669066622853,648.484488822287,502.45414599007927,135.92804118501954,0.059385398868471384,9.974695721408352,0.056558572920039296,2787.80367395957,0.00014528492465615273,0.4065435528755188,-3.024062156677246,-0.906185,-1.35983,-2.60489,0.17141,4.9215,-1.06944,-5.44935,-8.83835,1.66558,-2.30867,-5.43281,-8.85731,1.61792,-2.30964,-5.4204,-8.76502,1.6328,0.10528,0.123675,4000,0.0350798,-0.0186611,-0.133106,0.0307977,-0.0899945,-0.1284,-0.161123,0.0116161,0.913936,0.879561,0.851188,0.0102117
4,0.0486271,-0.0775977,-0.212815,0.0441769,-274.172255598,24,-234.617808479,-274.172255598,-342.385260563,30.625276747,-1.11075202123,-1.36404107263,-1.76824206615,0.153813663976,120,24120,201,201.0,201,0.0,0.993008,-0.00693949,-0.991665,0.591151,-254.284364967,5,-240.195545026,-254.284364967,-270.225818514,9.65005210713,-1.0964308075,-1.27142182483,-1.54281834012,0.101965926475,30,6000,201,200.0,196,2.0,6000,0.011426142882555723,653.2035714534577,506.58512341300957,136.05491689499468,0.032531320117414,10.478248230647296,0.04120551096275449,3441.6272489286494,0.00011994084343314171,0.3012316823005676,-4.03387451171875,-0.818957,-1.36191,-3.20467,0.25778,8.45507,-4.31117,-8.86082,-13.827,2.14557,-3.67991,-8.79437,-13.9026,2.19833,-2.96107,-8.77239,-13.7712,2.23233,0.172145,0.217282,5000,0.124715,-0.0407938,-0.369411,0.0733504,-0.0771369,-0.101301,-0.143315,0.013151,0.925763,0.903739,0.866481,0.0118276
5,0.212167,-0.104214,-0.486739,0.218676,-274.53273091,24,-226.507800139,-274.53273091,-340.333781338,30.3736750923,-1.07327194846,-1.36583448214,-1.76817674188,0.15283636941,144,28944,201,201.0,201,0.0,0.993731,-0.0326908,-0.998396,0.599295,-236.570710603,5,-210.151477555,-236.570710603,-261.070420269,18.1785223055,-0.912558217755,-1.18285355301,-1.65438239227,0.15084067994,35,7000,201,200.0,196,2.0,7000,0.00896864803507924,602.6419262615964,468.2470984610263,125.27796977804974,0.028718312038108706,9.04601895948872,0.03303316701203585,4044.855548761552,0.00011893594637513161,0.22343343496322632,-4.958068370819092,1.17598,-1.30837,-2.7572,0.395258,12.4377,-1.00135,-12.5325,-18.2423,3.07465,-7.02305,-12.6077,-18.1185,2.8039,-6.83033,-12.6435,-18.426,2.82115,1.05132,1.29207,6000,0.496301,-0.0642473,-0.759041,0.177951,-0.0622941,-0.105584,-0.211913,0.0209191,0.939607,0.899994,0.809035,0.0186504
6,0.465133,-0.111924,-0.750655,0.355015,-271.198610812,24,-234.852770471,-271.198610812,-310.896469831,18.2309212364,-1.07977490716,-1.34924681996,-1.61238066878,0.0953882164754,168,33768,201,201.0,201,0.0,0.995282,0.0402949,-0.995759,0.610365,-248.476581666,5,-226.341058123,-248.476581666,-274.471494692,17.0455686958,-0.999891844657,-1.24238290833,-1.617732316,0.125429602105,40,8000,201,200.0,196,2.0,8000,0.015164427924901247,599.4221598545555,460.1796449869871,129.93539408710785,0.037944099167361856,9.212487003300339,0.041400323156267405,4644.896462855628,0.00012492691166698933,0.1661575436592102,-5.8413896560668945,1.41856,-1.25458,-2.74973,0.535747,17.153,-0.984896,-17.2155,-24.6345,3.61241,-10.3866,-17.2229,-24.5415,3.46781,-10.3746,-17.2599,-25.013,3.42613,1.4906,1.59568,7000,0.6735,-0.0258375,-0.847118,0.276531,-0.0145168,-0.0892458,-0.206239,0.034349,0.985588,0.915157,0.813638,0.0311426
7,0.689185,-0.0478118,-0.769911,0.379423,-270.030101231,24,-234.226319212,-270.030101231,-327.934005001,23.2936534269,-1.1080949823,-1.34343333946,-1.71770888771,0.119618233819,192,38592,201,201.0,201,0.0,0.996584,-0.0676804,-0.996737,0.623243,-215.717426434,5,-187.924488224,-215.717426434,-235.332975142,17.1251906474,-0.789644497044,-1.07858713217,-1.47852316796,0.137614224595,45,9000,201,200.0,196,2.0,9000,0.010945226065814495,632.893157424638,496.27463235496543,127.11807787208818,0.029481325997039676,9.426897570723668,0.03299987595528364,5278.395450728014,0.0001231988426297903,0.12441141903400421,-6.407288551330566,4.12815,-1.07428,-3.26341,0.865025,21.6726,-12.3718,-21.7979,-29.9525,4.1097,-12.9014,-21.5603,-30.7775,4.15582,-13.342,-21.7652,-30.2942,4.12692,0.647581,0.581795,8000,0.877811,-0.0490898,-0.942039,0.402873,0.0341354,-0.0802023,-0.505863,0.0648204,1.03472,0.924797,0.602985,0.0567533
8,0.839236,-0.172188,-0.916686,0.477811,-245.327851318,24,-203.329280837,-245.327851318,-287.87572283,24.5688897359,-0.901775277985,-1.22053657372,-1.60248364112,0.138336194941,216,43416,201,201.0,201,0.0,0.995295,-0.270995,-0.998855,0.606169,-230.186893011,5,-189.37507236,-230.186893011,-263.315812117,24.7902824601,-0.700812785082,-1.15093446505,-1.6250352099,0.194979108648,50,10000,201,200.0,196,2.0,10000,0.0074267019517719746,665.7326233196072,530.7950676539913,125.62905489001423,0.02039074501954019,9.253470333525911,0.027064155088737607,5944.7104086065665,0.00014884001575410366,0.09426208585500717,-6.468143939971924,4.39522,-0.738794,-4.38511,1.22573,26.5716,-1.12047,-26.347,-37.4477,5.52943,2.11119,-26.4745,-37.26,5.47072,-0.762883,-26.5551,-37.192,5.29111,2.32402,2.14242,9000,0.974475,-0.172127,-0.942002,0.521807,0.140538,-0.0977794,-0.54459,0.0984553,1.15089,0.911116,0.58008,0.0859016
9,0.965478,-0.247964,-0.984906,0.60905,-224.494083241,24,-181.084081179,-224.494083241,-289.00330326,29.0564705451,-0.786285201024,-1.11688598627,-1.59704525591,0.177797014227,240,48240,201,201.0,201,0.0,0.998474,-0.20312,-0.998964,0.671578,-214.81160742,5,-185.873491963,-214.81160742,-236.141646226,20.3043278694,-0.665150188869,-1.0740580371,-1.46746646919,0.157514943607,55,11000,201,200.0,196,2.0,11000,0.007925953948870301,626.981972444104,495.2456158208661,122.57081344211474,0.020384229952469468,9.112721617333591,0.02439164905808866,6572.287270536879,0.00011973083019256592,0.07326896488666534,-5.617606163024902,5.87214,-0.14936,-4.30934,1.59382,30.4515,-10.6424,-30.4921,-41.7082,6.03753,-11.3242,-30.2705,-41.5906,6.09157,-12.0972,-30.4794,-41.7784,6.05957,1.52461,1.13869,10000,0.966467,-0.218078,-0.977189,0.628061,0.210572,-0.152117,-0.839759,0.150214,1.23438,0.868295,0.431815,0.124704
