Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,1.77906e-05,6.48439e-06,-9.16179e-06,3.61245e-06,75.1919698483,24,81.5237272321,75.1919698483,71.7267006656,2.05892860572,0.654009233098,0.37408940223,0.105164165637,0.147123739521,24,4824,201,201.0,201,0.0,0.998559,0.000627872,-0.998076,0.62506,39.4198982836,10,49.6828710769,39.4198982836,31.8771832683,5.44168669511,1.24048026702,0.197099491418,-0.109182379433,0.273807620759,20,4000,201,200.0,191,3.0,4000,0.05103206599596888,190.2980158939754,71.53987947199494,30.82999751099851,0.03159161801158916,87.76691654196475,0.07838090500445105,224.82016437464335,0.0002177800051867962,1.0,-0.0,-0.532954,-1.30495,-1.83005,0.30433,-1.30485,2.84271,1.54658,-0.0565728,0.422124,0.000394893,1.61827e-05,-0.000304016,0.000152312,0.000136714,-7.1897e-05,-0.000387426,0.000109961,2.57001,2.57032,1000,2.99028e-05,5.14764e-06,-3.53398e-05,8.34249e-06,0.000739182,0.000129241,-0.000471047,0.000587972,1.00074,1.00013,0.999529,0.000588048
1,0.0175931,0.00310955,-0.0113647,0.0144535,76.034502296,24,81.4284182081,76.034502296,75.061472768,1.61991495752,0.653901583124,0.37828110595,0.123758386577,0.144708433571,48,9648,201,201.0,201,0.0,0.996804,0.00680913,-0.996414,0.604592,42.9423772104,10,46.9707925513,42.9423772104,37.1024932392,2.91778202815,1.2003444796,0.214711886052,-0.105858500021,0.26765769805,30,6000,201,200.0,191,3.0,6000,0.058873967005638406,189.10261958104093,71.8461831589957,35.010404435000964,0.04001191898714751,82.09256559505593,0.05437697999877855,416.8461509597255,0.00020352599676698446,0.9703778624534607,-0.10198316723108292,-0.967405,-1.39156,-2.466,0.165122,-2.55776,3.84215,2.19084,1.65421,0.333717,1.56699,1.264,1.09785,0.107322,1.54951,1.26181,1.10101,0.0911002,0.958747,0.967049,2000,0.0189595,0.00311568,-0.012238,0.0144846,-0.097553,-0.105363,-0.116525,0.00304785,0.907054,0.900002,0.890008,0.00274222
2,0.166613,0.0092409,-0.148103,0.157126,89.4168939536,24,94.6421504935,89.4168939536,88.3628837778,1.54511147768,0.753655165612,0.444860168923,0.154923124183,0.163884254317,72,14472,201,201.0,201,0.0,0.996415,0.015782,-0.996328,0.613798,53.6345982104,10,59.6410969077,53.6345982104,50.3729714547,2.58979199738,1.25048619946,0.268172991052,-0.105860898387,0.288806478768,40,8000,201,200.0,191,3.0,8000,0.053766626995638944,173.43628527883266,71.94865022700105,33.781210467990604,0.03636543299944606,67.57217826484703,0.04393714599427767,591.8182837934146,0.00017711300461087376,0.9417582154273987,-0.20016047358512878,-0.385803,-1.33564,-1.9193,0.332986,-7.17249,7.28809,6.2293,5.72195,0.313342,6.79519,5.90885,5.5266,0.262995,6.91084,5.91593,5.43051,0.271681,0.173573,0.173911,3000,0.170597,0.00924643,-0.151663,0.157232,-0.0754238,-0.085519,-0.090834,0.00319551,0.92735,0.91804,0.913169,0.00293415
3,0.172729,0.0117846,-0.149146,0.160832,89.2632677814,24,94.9535581645,89.2632677814,88.23567868,1.6721197153,0.753620026759,0.444095859609,0.156450572042,0.164242750079,96,19296,201,201.0,201,0.0,0.996443,0.0127206,-0.997543,0.602384,54.5013551093,10,64.7192283426,54.5013551093,49.2812520151,4.4954766099,1.2237679871,0.272506775546,-0.109281981551,0.28762542679,50,10000,201,200.0,191,3.0,10000,0.051860193998436444,148.40567728919268,72.49536657299905,31.349703820000286,0.03442725598870311,44.44081642619858,0.03334605900454335,741.6946530366113,0.00015696100308559835,0.9140329957008362,-0.29879358410835266,-0.39912,-1.32404,-2.19337,0.325804,-13.0397,12.8825,11.8437,-0.0658601,1.08455,12.7547,11.7854,11.3496,0.27015,12.8136,11.7869,11.3618,0.272823,1.16861,1.16681,4000,0.177749,0.0117749,-0.153468,0.160713,-0.084635,-0.0956655,-0.0990638,0.00177311,0.918848,0.908769,0.905685,0.00161689
4,0.150783,0.00491069,-0.140928,0.145336,89.3584381797,24,94.9410429925,89.3584381797,88.5259509299,1.66193497378,0.753608362355,0.444569344178,0.156294300538,0.164235951863,120,24120,201,201.0,201,0.0,0.996741,-0.00197339,-0.996501,0.593788,52.0271142477,10,63.166752796,52.0271142477,43.9088045235,4.72574605137,1.28804301,0.260135571238,-0.109611481422,0.282444744875,60,12000,201,200.0,191,3.0,12000,0.03748131499742158,149.04996510603814,79.8284797820088,29.751484678010456,0.027159960998687893,39.37059582503571,0.034604870990733616,892.2444082783622,0.00015867399633862078,0.8870354294776917,-0.4020894169807434,-0.495225,-1.35437,-3.07332,0.3211,-19.001,18.8861,17.6431,-0.071051,2.2352,18.7474,17.8046,16.9975,0.255972,18.9847,17.8114,17.1203,0.257514,5.01565,5.02585,5000,0.1543,0.00490475,-0.144206,0.145224,-0.0998254,-0.108751,-0.11214,0.00160475,0.904995,0.896955,0.893919,0.00144238
5,0.168884,0.00997735,-0.148887,0.15854,89.9575379944,24,95.0717755309,89.9575379944,88.4569424645,2.24362298666,0.753911681528,0.447549940271,0.156418130057,0.164128603055,144,28944,201,201.0,201,0.0,0.996872,-0.00627217,-0.996818,0.599119,52.6450311249,10,60.6190594136,52.6450311249,44.1142367545,4.78112104822,1.27797641008,0.263225155624,-0.108786700401,0.289677875441,70,14000,201,200.0,191,3.0,14000,0.040390736001427285,155.65023816486064,82.72694514600153,30.253569902008167,0.03449881399865262,42.56317164286156,0.03149432699137833,1049.3692040749447,0.00016759699792601168,0.8608130216598511,-0.49907630681991577,-0.535308,-1.32988,-2.02956,0.293485,-24.6852,24.9486,23.683,22.4269,0.394036,24.3005,23.52,22.3267,0.323178,24.3306,23.522,22.3683,0.321241,0.0795218,0.0799208,6000,0.173834,0.00996981,-0.153241,0.158426,-0.114165,-0.122379,-0.127573,0.0016305,0.89211,0.884814,0.880229,0.00144411
6,0.169705,0.00800919,-0.153665,0.161453,89.0001010319,24,94.7553450855,89.0001010319,88.4406458177,1.21180026093,0.753766862158,0.442786572298,0.15624098103,0.164207903037,168,33768,201,201.0,201,0.0,0.998055,-0.00895582,-0.997924,0.595577,55.5529909272,10,65.977633288,55.5529909272,46.8540898673,4.97792887205,1.30139422056,0.277764954636,-0.101835927623,0.290435813026,80,16000,201,200.0,191,3.0,16000,0.03635235599358566,158.36695967860578,77.10407166200457,28.114812907995656,0.03410740599792916,53.03362567660224,0.0438068990042666,1209.3885510816617,0.00018277100753039122,0.835384726524353,-0.6012718677520752,-0.48851,-1.34295,-2.22129,0.323941,-29.9906,30.1459,28.7163,-0.0892949,3.15885,29.8899,28.9022,27.146,0.463163,29.8415,28.9034,27.1749,0.461957,9.85792,9.84133,7000,0.176616,0.00800604,-0.159914,0.161391,-0.121142,-0.129637,-0.136133,0.00164666,0.885908,0.878415,0.872726,0.00144802
7,0.152291,-0.00475025,-0.161831,0.156319,89.2009099791,24,94.4542688831,89.2009099791,88.4336449921,1.58231945639,0.753659407048,0.443785621787,0.155828714822,0.164426068172,192,38592,201,201.0,201,0.0,0.998942,-0.0100717,-0.997591,0.592305,53.8713597858,10,56.9173203499,53.8713597858,47.8330009523,2.68946124751,1.27874558271,0.269356798929,-0.106251243963,0.279432940284,90,18000,201,200.0,191,3.0,18000,0.0371542859938927,152.97596952291497,65.23047591300565,27.062212682998506,0.027581702001043595,60.5861696179054,0.03218038100749254,1363.8195566119248,0.0001949400029843673,0.810696542263031,-0.7030656933784485,-0.496998,-1.35014,-2.26918,0.313455,-34.9558,35.5505,34.0057,31.5215,0.605654,35.0914,33.8655,31.3873,0.56271,35.1021,33.8715,31.3821,0.564601,0.0766458,0.0759495,8000,0.157498,-0.00475185,-0.16726,0.156395,-0.122613,-0.130581,-0.138041,0.00244264,0.884606,0.877588,0.871063,0.00214376
8,0.162208,-0.000542665,-0.163293,0.162401,89.4322804935,24,94.526709538,89.4322804935,88.5356567074,1.57888395848,0.75360205362,0.444936718873,0.156681377214,0.164024649456,216,43416,201,201.0,201,0.0,0.997292,0.00311467,-0.997376,0.589836,53.1770549956,10,59.10446494,53.1770549956,47.7278953754,3.33520577739,1.27514628131,0.265885274978,-0.107268947109,0.28081779242,100,20000,201,200.0,191,3.0,20000,0.03622424599598162,161.73649187422416,62.50447122499463,22.699544438990415,0.02647968400560785,76.43621075323608,0.03337472600105684,1527.0275163452898,0.0001868010003818199,0.7867453098297119,-0.7949079871177673,-0.495621,-1.31418,-2.53192,0.316601,-39.5534,40.0091,38.4002,0.0223257,3.46,39.7698,38.5052,35.6419,0.654366,39.7853,38.504,35.6493,0.65487,11.4727,11.4476,9000,0.169154,-0.000543084,-0.170215,0.162392,-0.126272,-0.133361,-0.140794,0.00163702,0.881375,0.87515,0.868668,0.00143318
9,0.174,0.00307881,-0.167837,0.170747,89.2788823294,24,94.9771941202,89.2788823294,88.4185505969,1.70810221313,0.753760494184,0.444173543927,0.156868066942,0.164329710453,240,48240,201,201.0,201,0.0,0.997237,0.0207654,-0.996791,0.593498,55.5512746487,10,63.85582662,55.5512746487,49.913970916,4.61537164846,1.29841298703,0.277756373244,-0.103415875358,0.279217997333,110,22000,201,200.0,191,3.0,22000,0.041542498001945205,146.06646303138405,57.10264321201248,26.353622855007416,0.03392382198944688,62.50036925938912,0.03419889499491546,1674.5514372195757,0.0001624899887247011,0.7634915709495544,-0.8941495418548584,-0.478654,-1.31347,-2.84368,0.317612,-43.7634,44.5451,42.8297,-0.057171,2.80591,44.0731,42.728,39.6704,0.80882,43.9573,42.7295,39.6598,0.812337,7.5049,7.4764,10000,0.176598,0.00307602,-0.170325,0.170625,-0.126987,-0.13767,-0.143141,0.00329461,0.880745,0.871391,0.866632,0.0028715
