Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,6.75761e-05,3.69278e-05,1.1067e-06,2.29127e-05,0.0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,4949,101,101.0,101,0.0,0.998515,0.000891534,-0.99865,0.628431,61.5,20,101.0,61.5,0.0,34.2571160491,1.0,0.615,0.0,0.486595314404,40,4000,101,100.0,81,4.35889894354,4000,0.021420372009743005,23.995065034308936,4.603336592961568,3.0378197900136,0.0285170009592548,16.255025700374972,0.0488407890079543,28.12416198325809,0.00010478898184373975,1.0,-0.0,-0.535894,-1.3347,-1.96555,0.308591,-1.33439,2.83574,1.97395,0.612252,0.556191,0.000209814,-0.000292035,-0.000838821,0.000191432,0.000754462,9.59808e-05,-0.000309941,0.000191746,4.207,4.20541,1000,0.00021285,6.31869e-05,-2.79092e-05,5.75231e-05,0.00016092,-5.08062e-05,-0.000284772,0.000110521,1.00016,0.999949,0.999715,0.000110515
1,-0.0153849,-0.0175058,-0.0197499,0.00163981,19.5918367347,49,101.0,19.5918367347,0.0,38.8045433735,1.0,0.193978581532,0.0,0.395412305624,98,9898,101,101.0,101,0.0,0.998946,-0.0121064,-0.996981,0.590193,53.95,20,101.0,53.95,0.0,27.2240243168,1.0,0.5395,0.0,0.498437307994,60,6000,101,100.0,81,4.35889894354,6000,0.02049577096477151,17.93648378510261,4.261082342010923,1.613273241033312,0.022841947968117893,11.997744808148127,0.02094770799158141,46.467587415652815,9.796698577702045e-05,0.9703781604766846,-0.10122381150722504,-0.944286,-1.36634,-1.95242,0.157906,-2.60021,3.297,2.59222,0.0,0.560419,1.6949,1.34595,1.09494,0.124524,1.69932,1.36184,1.16257,0.0987409,1.86339,1.81511,2000,-0.0151083,-0.0189887,-0.0284957,0.00255445,-0.0947217,-0.112723,-0.158244,0.0120553,0.909626,0.893463,0.853642,0.0106915
2,-0.0216594,-0.0234785,-0.0256212,0.00145819,10.2040816327,49,101.0,10.2040816327,0.0,30.2715462762,1.0,0.101030511214,0.0,0.301369120877,147,14847,101,101.0,101,0.0,0.998914,0.00920916,-0.998096,0.618913,66.8,20,97.0,66.8,7.0,20.2029700787,1.0,0.668,0.0,0.470930992822,80,8000,101,100.0,81,4.35889894354,8000,0.01887661003274843,18.812794398865663,4.436179214972071,1.8404319219989702,0.03007148002507165,12.463476787845138,0.023622220032848418,65.70543693914078,0.00013616395881399512,0.941691517829895,-0.20350156724452972,-0.748222,-1.38731,-1.72051,0.207082,-7.69735,9.60296,6.95398,1.0,0.680129,7.24434,6.47364,5.80201,0.233828,7.30102,6.4863,5.96287,0.217447,0.669564,0.647915,3000,-0.0207865,-0.0254193,-0.0344897,0.00265954,-0.0550382,-0.0644056,-0.081344,0.00563663,0.946449,0.93764,0.921876,0.0052753
3,-0.00283855,-0.00923266,-0.0156009,0.00624563,5.9387755102,49,98.0,5.9387755102,0.0,23.2558161812,1.0,0.0587997575268,0.0,0.235249539939,196,19796,101,101.0,101,0.0,0.996163,-0.0286583,-0.996149,0.621089,58.7,20,100.0,58.7,0.0,24.851760501,1.0,0.587,0.0,0.49237282622,100,10000,101,100.0,81,4.35889894354,10000,0.021622496016789228,26.83481550088618,6.368217988987453,2.67856293101795,0.14545916399220005,17.59550326486351,0.025335539015941322,93.07790426979773,0.00011411699233576655,0.9138750433921814,-0.302010178565979,-0.787702,-1.35338,-2.71137,0.240661,-14.6227,15.4016,13.5355,1.0,1.52566,15.1714,13.43,11.6921,0.461863,14.9169,13.4273,11.7309,0.466901,1.97138,1.91526,4000,-0.001729,-0.00989056,-0.0195458,0.00669467,-0.0524147,-0.060211,-0.0733589,0.00436329,0.948935,0.941575,0.929267,0.00410366
4,-0.00630474,-0.0190594,-0.0317846,0.0126302,5.9387755102,49,101.0,5.9387755102,0.0,23.2733605821,1.0,0.0587997575268,0.0,0.235249539939,245,24745,101,101.0,101,0.0,0.998113,-0.00278698,-0.996813,0.60037,48.75,20,98.0,48.75,2.0,30.6950728945,1.0,0.4875,0.0,0.499843725578,120,12000,101,100.0,81,4.35889894354,12000,0.01635325700044632,19.712343900289852,4.762841949006543,1.9115913880523294,0.027241497009526938,12.970461590215564,0.023760545998811722,113.22458445897792,9.367300663143396e-05,0.8868616223335266,-0.40205317735671997,-0.857401,-1.34859,-1.76453,0.18236,-21.8302,23.8257,20.7093,1.0,2.02706,23.443,20.6589,17.8249,0.790112,23.4735,20.6599,17.8213,0.7858,3.28079,3.28352,5000,-0.0046145,-0.0198226,-0.0382992,0.0132716,-0.0742149,-0.0856226,-0.101706,0.0053637,0.928472,0.917954,0.903295,0.00491661
5,-0.00345824,-0.0197667,-0.0361493,0.0162389,5.75510204082,49,101.0,5.75510204082,0.0,22.5710041662,1.0,0.0569812083249,0.0,0.231806708753,294,29694,101,101.0,101,0.0,0.995507,-0.0188538,-0.998393,0.601198,57.65,20,101.0,57.65,6.0,31.7005914771,1.0,0.5765,0.0,0.494113094342,140,14000,101,100.0,81,4.35889894354,14000,0.022763132001273334,20.042503837961704,3.8868580739945173,2.325032291992102,0.02248428697930649,13.769720430020243,0.015542147972155362,133.707353159145,0.00010347500210627913,0.8606349229812622,-0.5074853301048279,-0.915984,-1.38132,-3.34238,0.234813,-28.6795,32.3518,27.721,1.0,2.22779,31.8845,27.5285,22.068,1.33307,31.7715,27.5189,22.2136,1.32789,3.33448,3.33253,6000,-0.00149933,-0.0201696,-0.0481977,0.0167528,-0.0788178,-0.0922567,-0.120786,0.00541511,0.924208,0.911884,0.886224,0.00492713
6,0.0155827,-0.0160387,-0.047905,0.0315901,4.08163265306,49,101.0,4.08163265306,0.0,19.787479792,1.0,0.0404122044858,0.0,0.196923990957,343,34643,101,101.0,101,0.0,0.995979,0.00990691,-0.996962,0.598166,54.65,20,99.0,54.65,0.0,35.2976982252,1.0,0.5465,0.0,0.497833054347,160,16000,101,100.0,81,4.35889894354,16000,0.023111224989406765,21.992582457140088,6.178353680996224,2.0074031410040334,0.02953230100683868,13.729365401144605,0.024718734028283507,156.15628880326403,9.797397069633007e-05,0.8351926803588867,-0.6064553260803223,-0.859303,-1.36746,-2.81115,0.232402,-34.9493,40.4749,33.7659,0.0,4.02,39.7917,33.8198,27.4953,1.61143,39.8141,33.8211,27.5678,1.61008,12.6709,12.6718,7000,0.0196928,-0.016145,-0.0598544,0.0321202,-0.0847689,-0.100898,-0.127303,0.0061366,0.918725,0.904042,0.880467,0.00553665
7,0.0126155,-0.0292398,-0.0714146,0.0417397,4.10204081633,49,101.0,4.10204081633,0.0,19.8856372104,1.0,0.0406142655082,0.0,0.197394901012,392,39592,101,101.0,101,0.0,0.996881,-0.00414494,-0.996332,0.596213,53.5,20,100.0,53.5,8.0,27.7245378681,1.0,0.535,0.0,0.498773495687,180,18000,101,100.0,81,4.35889894354,18000,0.031565232027787715,20.912984774739016,5.235085937019903,2.943670629989356,0.045891407993622124,12.632933766697533,0.02373433404136449,177.51703551399987,0.00010346696944907308,0.8105124831199646,-0.6993134617805481,-0.865516,-1.32866,-2.00265,0.188195,-41.1358,47.9566,39.9833,1.0,4.96284,47.4335,40.0736,32.0219,2.51687,47.3984,40.0647,32.0415,2.52821,22.0747,22.0945,8000,0.0156486,-0.0295217,-0.0846528,0.0423193,-0.086629,-0.105595,-0.12806,0.00858251,0.917017,0.899822,0.879801,0.00771488
8,0.0327037,-0.0208255,-0.0745452,0.0531809,6.18367346939,49,101.0,6.18367346939,0.0,24.2139051545,1.0,0.0612244897959,0.0,0.239741635193,441,44541,101,101.0,101,0.0,0.999307,-0.0253878,-0.99779,0.594997,63.5,20,101.0,63.5,0.0,30.6292344011,1.0,0.635,0.0,0.481430161083,200,20000,101,100.0,81,4.35889894354,20000,0.045531176030635834,24.363747640803922,6.20031350600766,3.4189461980131455,0.03481953602749854,14.638146780722309,0.02587780199246481,202.36330046039075,0.00011264201020821929,0.7865585088729858,-0.8086480498313904,-0.85596,-1.36813,-4.09637,0.250487,-46.6601,54.9086,45.8261,1.0,4.74504,54.1007,45.5839,39.404,2.46005,54.1214,45.5833,39.4174,2.45246,14.223,14.2498,9000,0.038504,-0.0206704,-0.0863258,0.0531697,-0.0860067,-0.108523,-0.130806,0.00759982,0.917588,0.897184,0.877388,0.00681766
9,0.0020503,-0.0482721,-0.0995662,0.0500316,6.18367346939,49,101.0,6.18367346939,0.0,24.2139051545,1.0,0.0612244897959,0.0,0.239741635193,490,49490,101,101.0,101,0.0,0.997362,-0.0230637,-0.996881,0.586289,68.4,20,100.0,68.4,32.0,19.3582023959,1.0,0.684,0.0,0.464912895067,220,22000,101,100.0,81,4.35889894354,22000,0.016396137012634426,19.731136599206366,4.825522219995037,2.094672911975067,0.029936419043224305,12.747732724179514,0.016768687986768782,222.5513657151023,0.00010749901412054896,0.7633196115493774,-0.906649649143219,-0.841849,-1.35699,-2.19729,0.200714,-51.9803,61.2321,51.4052,43.6197,2.82806,60.5883,50.9589,42.5039,2.67916,60.6104,50.9488,42.4824,2.67938,0.546583,0.554819,10000,0.00551191,-0.0479812,-0.111208,0.0501795,-0.0884587,-0.114747,-0.134506,0.0075649,0.915341,0.891617,0.874148,0.00675308
