Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,3.44953e-05,-3.84959e-07,-2.70984e-05,2.19135e-05,-6.30474653691,49,-6.25817026751,-6.30474653691,-6.42397694225,0.0389322013637,-0.0619047619048,-0.0624232330387,-0.0666588458625,0.000784347271592,49,4949,101,101.0,101,0.0,0.998431,0.00609927,-0.993668,0.629453,-2.87774853428,20,-0.597450673302,-2.87774853428,-5.7237902788,1.55645596487,-1.9199937554e-77,-0.0287774853428,-0.0661062584576,0.0247120659197,40,4000,101,100.0,81,4.35889894354,4000,0.021242044982500374,24.4572227220051,7.327400645008311,3.2541224230080843,0.023783100012224168,13.790050320967566,0.040349068003706634,28.906638134038076,0.00027512002270668745,1.0,-0.0,-0.549218,-1.30455,-1.83312,0.299069,-1.30467,1.81416,1.28463,-0.0166634,0.346957,0.00123852,0.000239115,-0.000717518,0.000323901,0.000833369,0.000241294,-0.000308725,0.000174342,1.77007,1.77004,1000,0.000258374,1.57917e-05,-0.000153396,6.75378e-05,0.000286776,-6.89359e-05,-0.000403843,0.000241433,1.00029,0.999931,0.999596,0.000241417
1,0.0250686,-0.0134844,-0.0520057,0.038393,-6.31032951577,49,-6.28626214368,-6.31032951577,-6.43921372797,0.0276947718656,-0.0622222222222,-0.0624785100571,-0.0666440382669,0.000727938090779,98,9898,101,101.0,101,0.0,0.994637,0.00205742,-0.999249,0.601615,-3.6132618232,20,-0.319028911561,-3.6132618232,-6.13332544018,1.56936324976,-1.8975425809e-32,-0.036132618232,-0.0666632879012,0.0260339244666,60,6000,101,100.0,81,4.35889894354,6000,0.022250832000281662,25.5831937189796,6.519139686017297,3.085266395006329,0.03386354196118191,15.89632211002754,0.02625134796835482,55.00510802102508,9.980599861592054e-05,0.9703856706619263,-0.10125839710235596,-0.874325,-1.36836,-3.35266,0.22691,-2.56123,3.49152,1.93627,-0.0342864,0.297798,1.66169,1.30273,1.0735,0.130841,1.67186,1.28772,0.922087,0.173211,0.502907,0.537648,2000,0.0336175,-0.0148974,-0.0698373,0.0427088,-0.0909277,-0.10903,-0.135522,0.00989651,0.913084,0.896748,0.87326,0.00884622
2,0.0188778,-0.00444523,-0.0276509,0.0228799,-6.30542082529,49,-6.28760603735,-6.30542082529,-6.37895745469,0.0220152051347,-0.0622222222222,-0.0624299091613,-0.0661509876913,0.000585156997288,147,14847,101,101.0,101,0.0,0.994971,-0.00565476,-0.99562,0.605478,-3.11057302526,20,-0.0666666684241,-3.11057302526,-5.79383986895,1.67714131585,-2.07149562491e-136,-0.0311057302526,-0.0665484473447,0.0253882153712,80,8000,101,100.0,81,4.35889894354,8000,0.015403601981233805,21.871429933293257,6.7444279820192605,2.682591549004428,0.03129423502832651,12.37015066028107,0.02746026497334242,77.290326121205,0.00010164000559598207,0.9417046904563904,-0.2004876285791397,-0.789296,-1.33793,-2.51772,0.224299,-6.52995,6.38191,5.50212,-0.0482578,0.523694,5.86545,5.31492,4.80504,0.185528,5.85569,5.32417,4.63657,0.195478,0.305727,0.312804,3000,0.0252457,-0.00497232,-0.0377471,0.0259409,-0.0546232,-0.0711736,-0.0925448,0.00813839,0.946842,0.931331,0.911608,0.0075683
3,0.00575786,-0.00445165,-0.0146168,0.00994687,-6.310389324,49,-6.28651413036,-6.310389324,-6.41212807318,0.0254578840377,-0.0622222222222,-0.0624791022178,-0.066558525821,0.000690273276293,196,19796,101,101.0,101,0.0,0.998506,-0.00431331,-0.995242,0.61006,-3.3445814048,20,-0.150212987381,-3.3445814048,-6.42899328566,1.73728724133,-5.59613935667e-105,-0.033445814048,-0.0660444460893,0.0260107975176,100,10000,101,100.0,81,4.35889894354,10000,0.01594364398624748,25.968992910464294,7.343222435039934,3.337936275987886,0.053834379999898374,15.190566981444135,0.0273571889847517,103.75738420692505,0.00013200502144172788,0.9138658046722412,-0.3026885688304901,-0.910868,-1.36054,-2.09009,0.187444,-11.3262,11.7844,10.197,-0.0267061,0.940717,10.8765,10.1052,9.30182,0.241451,10.8151,10.1058,9.28178,0.242316,0.892368,0.887729,4000,0.00878218,-0.00484968,-0.0219019,0.0110261,-0.0633753,-0.0809138,-0.110427,0.00662972,0.938591,0.922293,0.895452,0.0061006
4,0.000417395,-0.00826288,-0.016761,0.00804808,-6.26089752552,49,-4.31689131941,-6.26089752552,-6.55945059682,0.286994109799,-0.0392929329614,-0.0619890844111,-0.0666404751312,0.0030781380558,245,24745,101,101.0,101,0.0,0.998452,-0.0221202,-0.996887,0.597598,-2.7171503923,20,-0.372576627586,-2.7171503923,-5.16235867866,1.28587475356,-3.23832773737e-51,-0.027171503923,-0.0666304499035,0.0258631175567,120,12000,101,100.0,81,4.35889894354,12000,0.01787205197615549,20.54728259309195,6.465583406970836,2.832711291965097,0.022760370979085565,11.189392472151667,0.018865336023736745,124.71771377074765,9.766302537173033e-05,0.8868419528007507,-0.4033582806587219,-0.912803,-1.35884,-2.46467,0.194461,-16.0468,16.4799,14.8288,-0.0352,1.89854,16.3587,14.8596,14.04,0.326557,15.9054,14.8564,14.0465,0.311881,3.47471,3.46641,5000,0.00128617,-0.00883872,-0.0242377,0.00891996,-0.0764802,-0.0959572,-0.128096,0.00757492,0.926371,0.908529,0.879769,0.00685538
5,0.00297979,-0.00334786,-0.00941972,0.00599033,-6.31170618689,49,-6.28703576508,-6.31170618689,-6.4910800402,0.032987289704,-0.0622222222222,-0.0624921404642,-0.0665605241612,0.000700335890596,294,29694,101,101.0,101,0.0,0.99602,0.0113624,-0.996084,0.596573,-3.10935863958,20,-1.09422410936,-3.10935863958,-5.21671675074,1.20816762931,-1.08988181712e-28,-0.0310935863958,-0.0659468499546,0.0237874775601,140,14000,101,100.0,81,4.35889894354,14000,0.015602436033077538,19.597038103442173,5.518602996016853,2.3315515180001967,0.023939946957398206,11.69016668148106,0.017077890981454402,144.72925997822313,9.663397213444114e-05,0.8606250286102295,-0.5037882924079895,-0.930356,-1.35643,-2.26779,0.181394,-20.4485,20.9326,19.2871,-0.000347586,2.13257,21.0799,19.3029,18.3695,0.397806,20.7998,19.3,18.3865,0.382908,4.42684,4.41226,6000,0.00500273,-0.00351455,-0.0142108,0.00643696,-0.0863633,-0.102193,-0.134456,0.00735821,0.917261,0.90288,0.874192,0.00662352
6,0.00409069,-0.00488043,-0.0137463,0.00851404,-6.31315138591,49,-6.28571926026,-6.31315138591,-6.41113959168,0.0297067479936,-0.0622222222222,-0.0625064493655,-0.0666475549073,0.000751434416704,343,34643,101,101.0,101,0.0,0.996375,-0.00175894,-0.997155,0.600462,-3.02937467568,20,-1.14430287785,-3.02937467568,-5.85273930455,1.4752710232,-7.66888069859e-36,-0.0302937467568,-0.066383837301,0.0239920936077,160,16000,101,100.0,81,4.35889894354,16000,0.014691826945636421,19.31268939637812,5.72249745100271,2.3581983739859425,0.02280168200377375,11.179874308465514,0.01452491496456787,164.4463974031387,0.00010083900997415185,0.8351799845695496,-0.6060810089111328,-0.983639,-1.3651,-2.32569,0.178407,-24.5446,25.4372,23.3803,-0.00947418,2.58115,25.2699,23.433,22.2332,0.425651,25.3161,23.4334,22.2187,0.426408,6.46587,6.47338,7000,0.00593411,-0.00503994,-0.0189285,0.0088631,-0.0881442,-0.109814,-0.143167,0.00830445,0.915629,0.896032,0.86661,0.00742819
7,0.00733358,-0.00600662,-0.0193821,0.012754,-6.31673096059,49,-6.28832339887,-6.31673096059,-6.45586686924,0.0368279416158,-0.0622222222222,-0.0625418906989,-0.0666097628022,0.000849144962853,392,39592,101,101.0,101,0.0,0.996796,-0.0132509,-0.998429,0.595632,-3.66844169605,20,-0.437850180228,-3.66844169605,-6.04463784372,1.37868324514,-1.80759553848e-49,-0.0366844169605,-0.0665349742672,0.0229738512561,180,18000,101,100.0,81,4.35889894354,18000,0.015641556994523853,24.973270323709585,6.3601487599662505,2.9871045110048726,0.04419312201207504,15.532995635701809,0.03305938304401934,189.9567994484678,0.0001273549860343337,0.8104959726333618,-0.7078763842582703,-0.966475,-1.36909,-2.72166,0.184285,-28.2806,29.7853,27.3685,-1.91565e-13,1.80594,29.5871,27.184,25.5881,0.579007,29.5127,27.1797,25.5737,0.579191,2.74095,2.74009,8000,0.0100537,-0.00615143,-0.0255853,0.0130183,-0.0887425,-0.113398,-0.148812,0.00869312,0.915081,0.892829,0.861731,0.00775171
8,0.0215995,-0.0143091,-0.0509339,0.034761,-6.30542623616,49,-6.28765445619,-6.30542623616,-6.3554865331,0.0155670050576,-0.0622222222222,-0.0624299627343,-0.0663131769872,0.000621741205266,441,44541,101,101.0,101,0.0,0.998608,-0.00422215,-0.99231,0.587809,-2.93061939548,20,-2.57653744919e-25,-2.93061939548,-5.2407242055,1.51832700562,-1.88502675107e-115,-0.0293061939548,-0.0664723286063,0.0255999265987,200,20000,101,100.0,81,4.35889894354,20000,0.015500036010053009,23.14129655191209,7.250118502997793,2.922890485962853,0.03806767700007185,12.896117738913745,0.01849790202686563,213.5636799611384,0.00010420900071039796,0.7865381836891174,-0.80828857421875,-0.863773,-1.36627,-2.44972,0.170892,-31.6802,33.5432,30.4491,-0.0358564,3.8922,33.3188,30.6134,28.8942,0.648767,33.339,30.613,28.8823,0.64912,14.4895,14.4726,9000,0.0268513,-0.0143337,-0.0623799,0.0350963,-0.0895034,-0.11637,-0.150173,0.00911079,0.914385,0.890183,0.860559,0.00811208
9,0.0193817,-0.00456673,-0.0283511,0.0227427,-6.30565502629,49,-6.28683866716,-6.30565502629,-6.41874621612,0.0243089343186,-0.0622222222222,-0.062432227983,-0.0664842693953,0.000606506159093,490,49490,101,101.0,101,0.0,0.995131,-0.00259579,-0.994731,0.597731,-3.0058482394,20,-0.0640158811069,-3.0058482394,-6.59323420974,1.75677587872,-4.13027236547e-99,-0.030058482394,-0.0665047173078,0.027965384644,220,22000,101,100.0,81,4.35889894354,22000,0.021196719026193023,29.013750185491517,10.010197890049312,4.045989106991328,0.0363775150035508,14.872913583414629,0.026945959019940346,243.07904053898528,0.00012941198656335473,0.7632939219474792,-0.9102930426597595,-0.969173,-1.37006,-3.27259,0.201662,-34.704,36.8747,33.7737,-0.0343813,3.07572,36.8044,33.6714,31.6051,0.707159,36.8956,33.6721,31.5963,0.712565,9.34179,9.34793,10000,0.0225882,-0.00464497,-0.0340433,0.0230571,-0.092539,-0.11762,-0.140431,0.00883563,0.911614,0.889068,0.868984,0.00786428
