Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,2.58822e-05,2.88577e-06,-2.47706e-05,1.40927e-05,-6.30737322658,49,-5.93279823243,-6.30737322658,-6.6065431283,0.077853628313,-0.0577050288065,-0.0624492398671,-0.0664651994672,0.00100993091498,49,4949,101,101.0,101,0.0,0.998053,-0.00627768,-0.999114,0.622899,-3.20320504594,20,-0.732692859794,-3.20320504594,-6.0698318799,1.53697604434,-8.00559182808e-35,-0.0320320504594,-0.0662281304794,0.02590994581,40,4000,101,100.0,81,4.35889894354,4000,0.011709470010828227,15.1978448361333,4.871293966018129,1.987443660007557,0.01907034998293966,8.295717244094703,0.012541263015009463,18.294190654996783,6.888300413265824e-05,1.0,-0.0,-0.598257,-1.35265,-2.08203,0.285967,-1.35245,1.93113,1.30293,-0.0214256,0.330442,0.000458223,-0.00017702,-0.000801183,0.000224635,0.000700439,1.54659e-05,-0.000368575,0.000159228,1.80726,1.80677,1000,0.000141037,5.47323e-06,-0.000143504,4.62578e-05,0.000778491,-6.23635e-05,-0.000853306,0.000707963,1.00078,0.999938,0.999147,0.000707919
1,0.00267379,-0.00682563,-0.0168116,0.00931687,-6.30850931778,49,-6.28686941117,-6.30850931778,-6.45155822518,0.0291531906357,-0.0622222222222,-0.0624604882948,-0.0665702095057,0.000663553339511,98,9898,101,101.0,101,0.0,0.997857,-0.0142913,-0.998539,0.595417,-3.77111622696,20,-1.06670027921,-3.77111622696,-5.54748980296,1.25244018908,-2.0923041458e-35,-0.0377111622696,-0.0666311783254,0.0226592113974,60,6000,101,100.0,81,4.35889894354,6000,0.011974440974881873,15.518150012358092,4.961854121997021,2.0548562050098553,0.02413055600482039,8.45270339839044,0.012547584978165105,34.13885695670615,8.370500290766358e-05,0.9703822135925293,-0.10148757696151733,-0.952597,-1.37558,-2.82112,0.195722,-2.54966,2.79577,1.93884,-0.04436,0.198734,1.58839,1.29816,1.11837,0.085131,1.54548,1.22793,1.0523,0.0892724,0.457535,0.550604,2000,0.00363505,-0.00743541,-0.0233084,0.0102137,-0.0806733,-0.0983201,-0.1319,0.00932786,0.922495,0.906398,0.876428,0.00841407
2,-0.00362825,-0.00378924,-0.00396009,0.000152833,-6.31025806436,49,-6.25479619522,-6.31025806436,-6.40874833801,0.0354533083517,-0.0619047619048,-0.0624778026174,-0.0666168266433,0.0007133606444,147,14847,101,101.0,101,0.0,0.997844,-0.00819153,-0.998706,0.604693,-2.71778891699,20,-0.185742158796,-2.71778891699,-5.53292711281,1.6999311094,-7.61714986196e-113,-0.0271778891699,-0.0664005342549,0.025879328546,80,8000,101,100.0,81,4.35889894354,8000,0.011144025018438697,15.162735417921795,4.545786924980348,2.0599547770107165,0.023787514015566558,8.5064171119011,0.01556199899641797,49.64233669897658,8.306599920615554e-05,0.9417001008987427,-0.20078696310520172,-0.852572,-1.34264,-3.17969,0.240807,-6.47421,6.96808,5.42973,-0.0577766,0.622386,5.77432,5.26808,4.83304,0.180361,5.86447,5.24399,4.77336,0.193203,0.404842,0.399696,3000,-0.00297688,-0.0041928,-0.00594245,0.00055328,-0.0541407,-0.0666575,-0.0835832,0.00614273,0.947299,0.935533,0.919815,0.00573645
3,0.00604773,0.00169211,-0.00233048,0.0039599,-6.30849554454,49,-6.25423219374,-6.30849554454,-6.42242858122,0.0346579870308,-0.0619047619048,-0.0624603519261,-0.0665419487206,0.0007043147431,196,19796,101,101.0,101,0.0,0.99804,-0.00210944,-0.998584,0.604753,-2.86543228377,20,-0.466667543303,-2.86543228377,-6.16000759531,1.93894751706,-1.30120782973e-89,-0.0286543228377,-0.0663127431949,0.0270572630636,100,10000,101,100.0,81,4.35889894354,10000,0.011956266011111438,15.285198044322897,4.401213614997687,2.020027407008456,0.027923371992073953,8.811540363327367,0.01244327099993825,65.27042319264729,9.374998626299202e-05,0.9138715267181396,-0.30398422479629517,-0.862812,-1.37516,-3.09452,0.254001,-11.0943,11.5986,9.9302,-0.000154148,1.11175,10.4334,9.86245,9.30073,0.185509,10.4362,9.85806,9.28697,0.199969,1.17828,1.1771,4000,0.00759739,0.00179996,-0.00320554,0.00420728,-0.0633883,-0.0752277,-0.092579,0.00538681,0.938579,0.927546,0.911577,0.00498852
4,0.00553481,0.00405693,0.00230873,0.00140331,-6.31523974744,49,-6.28707821724,-6.31523974744,-6.49002131229,0.0400137336019,-0.0622222222222,-0.0625271262123,-0.0665490465531,0.000812447743138,245,24745,101,101.0,101,0.0,0.996712,0.00764308,-0.996475,0.597937,-3.0778778362,20,-0.0608675635518,-3.0778778362,-6.26708161571,1.80443219023,-2.22617553073e-134,-0.030778778362,-0.0666153644304,0.0274654481915,120,12000,101,100.0,81,4.35889894354,12000,0.01115760300308466,15.350958039343823,4.440008803998353,1.9471917370101437,0.020154411002295092,8.920490604359657,0.011865801992826164,80.96576965515851,8.907797746360302e-05,0.8868536949157715,-0.40550345182418823,-0.957263,-1.37708,-3.76378,0.27016,-15.6107,16.4367,14.5123,-0.0542054,0.957507,15.0902,14.4067,13.6347,0.259639,15.1712,14.4062,13.6425,0.265532,0.862899,0.856055,5000,0.00741616,0.00423531,0.000907102,0.00160751,-0.0817982,-0.0953499,-0.114133,0.0059223,0.921458,0.909071,0.892139,0.00537747
5,0.0104301,0.00657208,0.00302048,0.0035419,-6.30787831297,49,-6.28879445288,-6.30787831297,-6.41734596198,0.0230556161802,-0.0622222222222,-0.0624542407225,-0.0666349422144,0.000663903723976,294,29694,101,101.0,101,0.0,0.998905,0.0197448,-0.995546,0.600098,-2.92778507382,20,-0.128481498178,-2.92778507382,-6.65987169411,1.74371126755,-9.56444116665e-110,-0.0292778507382,-0.0666031246503,0.0272341926713,140,14000,101,100.0,81,4.35889894354,14000,0.013374572998145595,15.52680169098312,4.574077473022044,2.1493247449980117,0.027931365999393165,8.746198029955849,0.015816301020095125,96.83250694265007,7.920298958197236e-05,0.8606293201446533,-0.502251386642456,-0.987653,-1.3463,-1.75378,0.159603,-19.706,21.6589,18.5597,-0.0128256,2.06505,22.1227,18.5585,17.8701,0.455158,21.9064,18.5583,17.8723,0.445149,3.88137,3.87799,6000,0.0127138,0.00677138,0.00208112,0.00377427,-0.0868639,-0.105106,-0.137693,0.00741155,0.916802,0.900254,0.871367,0.00666442
6,0.0183924,0.00630074,-0.00537995,0.0116618,-6.30039697417,49,-6.25546026771,-6.30039697417,-6.44602851845,0.0402238003334,-0.0619047619048,-0.0623801680611,-0.0666438701654,0.000709315248041,343,34643,101,101.0,101,0.0,0.997107,-0.00396414,-0.997979,0.589011,-3.58155489202,20,-0.344795933632,-3.58155489202,-6.14073046209,1.92895329399,-2.74216790543e-70,-0.0358155489202,-0.0666663205637,0.0260315282953,160,16000,101,100.0,81,4.35889894354,16000,0.011879430996486917,15.361427149939118,4.4987429639732,2.0407585380016826,0.024358527996810153,8.775009493983816,0.010614586994051933,112.53309493188863,6.360799307003617e-05,0.8351847529411316,-0.6034243702888489,-0.960733,-1.35045,-1.62023,0.151841,-23.3612,26.3723,22.3312,-1.41428e-08,2.03129,26.1431,22.2512,21.3973,0.437404,26.1091,22.2539,21.4061,0.432596,4.01139,4.00009,7000,0.0222347,0.00635886,-0.00697067,0.0118209,-0.0917688,-0.108778,-0.141715,0.00662326,0.912316,0.896949,0.867868,0.00593665
7,0.00475225,0.00352373,0.0019111,0.0011833,-6.31949415794,49,-6.2870047901,-6.31949415794,-6.41626131721,0.035557006752,-0.0622222222222,-0.0625692490885,-0.0665035904482,0.000839083432472,392,39592,101,101.0,101,0.0,0.998181,0.0127933,-0.996071,0.593765,-2.95936056381,20,-1.23625591156,-2.95936056381,-5.90071855994,1.27259497314,-4.4173036488e-24,-0.0295936056381,-0.0664305553148,0.0239060945649,180,18000,101,100.0,81,4.35889894354,18000,0.011308065993944183,15.337811263743788,4.514522205980029,2.044250082981307,0.02123434899840504,8.73261238678242,0.013805539987515658,128.2160078897723,7.863302016630769e-05,0.8104968070983887,-0.7055487632751465,-0.984155,-1.35803,-1.83282,0.142135,-26.8161,30.2417,25.9519,-5.5633e-25,1.74144,28.253,25.7241,24.5178,0.554896,28.254,25.7259,24.5204,0.55466,2.64213,2.64021,8000,0.00629203,0.00352906,-0.000757107,0.00140695,-0.0973046,-0.11952,-0.139998,0.00780566,0.90728,0.887373,0.86936,0.00694742
8,0.00494879,-0.00262541,-0.00985276,0.0071176,-6.31037638301,49,-6.25571344941,-6.31037638301,-6.43282384226,0.0367822722941,-0.0619047619048,-0.0624789740892,-0.066593961604,0.000699774071085,441,44541,101,101.0,101,0.0,0.994735,-0.0244195,-0.993821,0.584434,-3.17514821217,20,-0.957437774793,-3.17514821217,-5.8304298259,1.47008371367,-2.53057820634e-22,-0.0317514821217,-0.066088226729,0.0244254889762,200,20000,101,100.0,81,4.35889894354,20000,0.012418134021572769,14.856340644037118,4.26680822999333,1.8469727829797193,0.026575937983579934,8.690182170044864,0.013292298011947423,143.41743934652186,9.109100210480392e-05,0.786544680595398,-0.8044835925102234,-1.00866,-1.35054,-2.48539,0.159539,-29.7916,33.0648,28.9431,-4.96391e-23,1.92777,32.8626,28.739,27.2038,0.666602,32.8716,28.7359,27.2097,0.668044,3.44246,3.43744,9000,0.00744047,-0.00267407,-0.0118419,0.00726785,-0.0994797,-0.119874,-0.147217,0.00727708,0.905308,0.887056,0.863107,0.00646329
9,-0.00935363,-0.0117148,-0.013917,0.00212376,-6.31003514484,49,-6.25477610843,-6.31003514484,-6.60036014719,0.0548339345001,-0.0619047619048,-0.0624755954935,-0.0666645250235,0.00083229669329,490,49490,101,101.0,101,0.0,0.992972,-0.0186594,-0.992385,0.585177,-3.13358348315,20,-1.56177284145,-3.13358348315,-5.97689082215,1.17418384568,-5.53895776355e-22,-0.0313358348315,-0.0664528434937,0.0239626743762,220,22000,101,100.0,81,4.35889894354,22000,0.011834310018457472,14.837286283669528,4.309669467998901,1.8516435719793662,0.018158082995796576,8.633672284689965,0.012242556986166164,158.5953776128008,6.600900087505579e-05,0.7632954120635986,-0.9112892150878906,-1.00878,-1.37377,-2.28523,0.158635,-32.381,36.958,31.2125,-0.0652278,4.01456,36.8465,31.3443,29.6347,0.830549,36.8272,31.3413,29.6277,0.829221,15.5019,15.5057,10000,-0.00501906,-0.0116146,-0.0170485,0.00265109,-0.0959623,-0.118696,-0.155634,0.00815222,0.908498,0.888107,0.855873,0.00724676
