Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,3.91012e-05,-3.97522e-06,-0.000124339,1.3215e-05,-5.44398767797,98,-0.113725490196,-5.44398767797,-6.22316754453,1.18467670314,-0.0,-0.106744856431,-0.12268907563,0.0234786771581,98,4998,51,51.0,51,0.0,0.999149,0.0140736,-0.998416,0.626185,-1.98605730788,40,-0.551904761905,-1.98605730788,-4.4377994228,0.907311544358,-0.0,-0.0397211461576,-0.123763955343,0.0367342649194,80,4000,51,50.0,11,6.2449979984,4000,0.09675701300147921,73.05432650295552,40.638558353995904,15.958388388971798,0.02825418399879709,16.31060459802393,0.021665545995347202,93.76448451826582,9.841896826401353e-05,1.0,-0.0,-0.589104,-1.3579,-1.86974,0.304772,-1.35783,3.00753,1.25599,-0.0333333,0.385948,0.000709879,0.000147597,-0.000283497,0.000187562,0.000717116,-3.20345e-05,-0.000689668,0.000266882,1.7261,1.72658,1000,0.000236431,-1.68138e-05,-0.000263682,6.5124e-05,0.000313948,-0.000377327,-0.00104028,0.000532447,1.00031,0.999623,0.99896,0.000532246
1,-0.00940217,-0.0192173,-0.0291438,0.00967411,-5.95801749271,98,-4.5,-5.95801749271,-6.25714285714,0.392886647853,-0.0882352941176,-0.116823872406,-0.12268907563,0.00770365976183,196,9996,51,51.0,51,0.0,0.998557,-0.00441596,-0.99785,0.595733,-2.0571868747,40,-0.152936507937,-2.0571868747,-4.20958853238,0.924666433531,-0.0,-0.041143737494,-0.129197080292,0.0396407559357,120,6000,51,50.0,11,6.2449979984,6000,0.02442782500293106,64.73683162388625,34.36109925300116,14.402025842049625,0.028909428976476192,15.903288509871345,0.0169657280202955,159.90675531042507,0.0001150369644165039,0.9703835844993591,-0.10117901861667633,-0.931558,-1.36547,-2.05271,0.164402,-2.45451,2.43524,1.84071,-0.0333333,0.359653,1.45437,1.15434,0.889068,0.124097,1.64907,1.19982,0.973646,0.0994803,0.615679,0.544836,2000,-0.00894601,-0.0218021,-0.0466133,0.0114128,-0.0865218,-0.105435,-0.151193,0.0132448,0.917116,0.900012,0.859682,0.0118636
2,-0.00660814,-0.00939606,-0.0121888,0.00265073,-5.93411078717,98,-4.5,-5.93411078717,-6.25714285714,0.44486815409,-0.0882352941176,-0.116355113474,-0.12268907563,0.00872290498216,294,14994,51,51.0,51,0.0,0.996189,-0.00346031,-0.996297,0.610461,-2.06938368531,40,-0.670225526108,-2.06938368531,-4.12289277114,0.833362312876,-0.0,-0.0413876737063,-0.124137931034,0.0380342793791,160,8000,51,50.0,11,6.2449979984,8000,0.03669835702748969,65.73065869649872,35.558602355013136,14.157033156021498,0.02442582999356091,15.939658681454603,0.014114385994616896,227.01786854246166,0.00012593099381774664,0.941705584526062,-0.2013717144727707,-0.779135,-1.3527,-1.95457,0.22308,-6.03271,6.59669,5.02788,0.0,0.671248,5.48695,4.83841,4.22927,0.221168,5.73407,4.85665,4.23848,0.226178,0.505735,0.494712,3000,-0.00580216,-0.0107696,-0.018841,0.00347637,-0.0367448,-0.0524615,-0.0756184,0.00782722,0.963922,0.94892,0.92717,0.00740647
3,0.0242627,0.0165505,0.00884598,0.00759871,-5.89738095238,98,-4.4625,-5.89738095238,-6.25458333333,0.465934621562,-0.0875,-0.115634920635,-0.122638888889,0.00913597297181,392,19992,51,51.0,51,0.0,0.998086,0.0230249,-0.997806,0.614649,-2.31304169032,40,-0.33253968254,-2.31304169032,-4.09587301587,1.06503310471,-0.0,-0.0462608338064,-0.123456790123,0.0376143298461,200,10000,51,50.0,11,6.2449979984,10000,0.03866680397186428,77.90648154070368,43.7800981659675,17.720368477981538,0.032490166020579636,16.315118086815346,0.019567354989703745,306.26868632802507,0.00017248495714738965,0.9138990044593811,-0.30003806948661804,-0.75162,-1.33245,-1.75179,0.245017,-10.0522,10.4711,8.94543,-0.0333333,1.16763,10.4556,8.85842,7.70275,0.407664,10.231,8.86187,7.8285,0.375799,1.23012,1.23469,4000,0.0344028,0.0180012,0.00810514,0.00842407,-0.0351566,-0.0467643,-0.0677517,0.0062194,0.965454,0.954331,0.934492,0.00592249
4,0.0325271,0.0276855,0.0225403,0.00468373,-5.90793367347,98,-4.4625,-5.90793367347,-6.25458333333,0.401437829632,-0.0875,-0.115841836735,-0.122638888889,0.00787132999279,490,24990,51,51.0,51,0.0,0.997384,-0.00278643,-0.997768,0.615395,-2.5428979286,40,-0.600203015375,-2.5428979286,-4.22880816714,0.835114026166,-0.0,-0.0508579585721,-0.123569023569,0.0376938080306,240,12000,51,50.0,11,6.2449979984,12000,0.027286486991215497,85.90229561255546,52.69693518202985,17.31567935901694,0.030315737007185817,15.81216809147736,0.019790938997175545,393.43472936347825,0.00011981703573837876,0.8868893384933472,-0.40340733528137207,-0.736691,-1.36075,-1.74955,0.223303,-13.7932,14.8712,12.6341,-0.0333333,1.89405,15.2705,12.6505,10.9321,0.773957,14.8979,12.6437,11.0724,0.762532,3.51251,3.47252,5000,0.0427858,0.0291358,0.0202733,0.00551312,-0.0448243,-0.0570715,-0.075549,0.00584251,0.956165,0.944543,0.927234,0.00550473
5,0.0627771,0.0377902,0.0130922,0.0244127,-5.99192176871,98,-4.4625,-5.99192176871,-6.25458333333,0.341611424482,-0.0875,-0.117488662132,-0.122638888889,0.00669826322514,588,29988,51,51.0,51,0.0,0.997735,0.0230448,-0.997194,0.614678,-2.42845513117,40,-0.878412698413,-2.42845513117,-4.3173015873,0.924535463451,-0.0,-0.0485691026234,-0.12380952381,0.0381598833353,280,14000,51,50.0,11,6.2449979984,14000,0.02341654902556911,74.14657455461565,42.450613648979925,17.49668288504472,0.032031400012783706,14.132863328501116,0.010870266007259488,468.79283580195624,9.647704428061843e-05,0.860669732093811,-0.5048428773880005,-0.729403,-1.36462,-2.24041,0.226322,-16.8066,18.8871,15.7146,-0.0333333,2.24106,20.1269,15.7043,12.4177,1.18927,19.5062,15.7026,12.675,1.17227,4.74932,4.70245,6000,0.0775438,0.0380942,0.0107714,0.0248118,-0.0522279,-0.0725131,-0.0978948,0.00824839,0.949113,0.930085,0.906744,0.00766001
6,0.0864972,0.05079,0.0155307,0.0347531,-5.9556851312,98,-4.5,-5.9556851312,-6.25714285714,0.449741884398,-0.0882352941176,-0.116778139827,-0.12268907563,0.00881846832153,686,34986,51,51.0,51,0.0,0.997866,0.0449269,-0.995805,0.606931,-2.40336847011,40,-0.699555420425,-2.40336847011,-4.27316335318,0.832952407951,-0.0,-0.0480673694022,-0.123076923077,0.0371495265574,320,16000,51,50.0,11,6.2449979984,16000,0.031971407996024936,76.75641392642865,43.21518583095167,18.27539228502428,0.029990593960974365,15.189653843524866,0.014080038003157824,546.8071343303891,0.00013992696767672896,0.8352340459823608,-0.6039652824401855,-0.763232,-1.35455,-1.7212,0.217013,-19.3484,22.8972,17.8844,-0.0333333,3.88198,23.4241,18.28,14.2484,1.56966,22.9084,18.2718,14.1097,1.56496,10.8162,10.7573,7000,0.108998,0.0498421,0.0122395,0.0343063,-0.0551613,-0.0736876,-0.0988671,0.00665257,0.946333,0.928982,0.905863,0.00617986
7,0.0932176,0.0586992,0.0246113,0.0332798,-5.98119533528,98,-4.5,-5.98119533528,-6.25714285714,0.320522512669,-0.0882352941176,-0.117278339907,-0.12268907563,0.00628475515038,784,39984,51,51.0,51,0.0,0.997863,0.038158,-0.997981,0.608275,-1.92016400655,40,-0.317037037037,-1.92016400655,-3.58582930757,0.773977073688,-0.0,-0.0384032801309,-0.123351158645,0.0397131623579,360,18000,51,50.0,11,6.2449979984,18000,0.02820777695160359,74.63079455855768,42.5611153349746,17.27454717596993,0.03476233803667128,14.713129276584368,0.018900663999374956,622.6974351555691,0.00013199204113334417,0.8105484247207642,-0.7051385641098022,-0.770397,-1.3571,-2.73048,0.243985,-21.4632,26.7989,20.0812,-0.0333333,4.33403,26.9968,20.411,15.5533,2.16121,26.6817,20.4059,15.6815,2.15069,13.3397,13.3523,8000,0.104845,0.0564905,0.0180448,0.0323867,-0.049265,-0.0804993,-0.103442,0.00933836,0.951929,0.922696,0.901728,0.00863071
8,0.111404,0.0809723,0.0500483,0.0293661,-5.89781341108,98,-4.5,-5.89781341108,-6.25714285714,0.417008005884,-0.0882352941176,-0.115643400217,-0.12268907563,0.00817662756635,882,44982,51,51.0,51,0.0,0.997911,0.0553132,-0.994692,0.604179,-2.34278304563,40,-0.967306397306,-2.34278304563,-4.48339404394,0.77979915096,-0.0,-0.0468556609125,-0.125641025641,0.0392679406311,400,20000,51,50.0,11,6.2449979984,20000,0.027186113002244383,74.57472680468345,42.40446175902616,17.80991582700517,0.025668700982350856,14.294442991667893,0.0129363689920865,698.5044017210603,0.00011504400754347444,0.7866036295890808,-0.8074493408203125,-0.649485,-1.36394,-2.35974,0.243969,-23.0405,29.8895,21.7062,-0.05,4.49224,30.1831,22.031,16.6141,2.34178,30.2448,22.0283,17.1386,2.35074,16.278,16.2863,9000,0.140154,0.0763525,0.0351075,0.0288845,-0.0484282,-0.0811147,-0.116025,0.011193,0.952726,0.922146,0.890453,0.0103491
9,0.101453,0.0770559,0.0522628,0.0233442,-5.8833819242,98,-4.5,-5.8833819242,-6.25714285714,0.473837356473,-0.0882352941176,-0.115360429886,-0.12268907563,0.0092909285583,980,49980,51,51.0,51,0.0,0.996495,0.053855,-0.993836,0.601485,-2.41322165565,40,-0.496212121212,-2.41322165565,-4.32348540349,1.05838547425,-0.0,-0.0482644331131,-0.12380952381,0.0385089970425,440,22000,51,50.0,11,6.2449979984,22000,0.027526039979420602,79.43135923618684,44.05323659599526,17.16447956999764,0.03679422801360488,18.125115804141387,0.024089661019388586,779.2508778602933,0.00011733704013749957,0.7633566856384277,-0.8994280695915222,-0.664485,-1.33085,-1.87522,0.231975,-24.3261,35.95,23.3785,0.0,4.38569,35.9669,23.3446,16.2797,3.02525,36.4737,23.3311,16.0722,3.04787,8.54163,8.39945,10000,0.115669,0.0721931,0.0350112,0.0233702,-0.037418,-0.0834742,-0.113244,0.014408,0.963273,0.920011,0.892933,0.0133034
