Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,3.31183e-06,-9.9561e-07,-5.54494e-06,2.87024e-06,-117.962980244,4,-115.68378795,-117.962980244,-119.628241738,1.55685632007,-0.11365433551,-0.117845135109,-0.124874276806,0.00263212962,4,4004,1001,1001.0,1001,0.0,0.999532,-0.00611007,-0.999466,0.628299,-87.4979525219,2,-79.0679784014,-87.4979525219,-95.9279266423,8.42997412043,-0.0606413481122,-0.0874979525219,-0.12259834698,0.0165367100931,4,4000,1001,1000.0,999,1.0,4000,0.0365261209954042,127.86746153717104,72.54649828800757,26.740156304993434,0.026943453995045274,28.392501312177046,0.12469591000990476,158.45861889827938,0.00014014699263498187,1.0,-0.0,-0.578272,-1.34377,-1.83594,0.322553,-1.34364,1.75384,1.25901,0.436446,0.291572,0.000958209,0.000310434,-0.000152394,0.000279107,8.09622e-05,-0.000138001,-0.000536285,0.000113523,1.66935,1.67047,1000,6.97448e-05,-8.27918e-07,-4.3657e-05,1.91061e-05,0.000812082,-3.75274e-05,-0.000894231,0.000831309,1.00081,0.999963,0.999106,0.000831278
1,0.00249679,-0.000462919,-0.0034187,0.00290992,-112.512879871,4,-93.6512484697,-112.512879871,-122.024848768,11.0684782852,-0.0928268955338,-0.112400479392,-0.122977504879,0.0111257078017,8,8008,1001,1001.0,1001,0.0,0.995096,-0.0142255,-0.996616,0.591797,-90.6626388918,2,-83.2737974439,-90.6626388918,-98.0514803397,7.38884144789,-0.0510387014224,-0.0906626388918,-0.126202390722,0.0241618556599,6,6000,1001,1000.0,999,1.0,6000,0.04618077600025572,108.91348124819342,54.796756904004724,26.161120362012298,0.02670310699613765,27.77439274119388,0.1081778349907836,268.7236856600648,0.00014952299534343183,0.7406310439109802,-1.009696125984192,-1.04192,-1.36282,-2.35064,0.157527,-5.26664,4.79133,4.25328,-0.0645683,0.298729,4.45832,4.26199,3.98987,0.0790353,4.46932,4.27144,3.99642,0.0767034,0.0820044,0.0845178,2000,0.00307684,-0.000577098,-0.00399758,0.00292633,-0.10659,-0.129648,-0.152384,0.0118363,0.898894,0.878466,0.858658,0.0103945
2,0.0105142,0.000895197,-0.00868608,0.00954043,-122.151247841,4,-121.519913969,-122.151247841,-122.915719147,0.57196802363,-0.117439217283,-0.122029218622,-0.125182398244,0.00120792660019,12,12012,1001,1001.0,1001,0.0,0.997791,-0.00436559,-0.995996,0.585277,-95.4523562519,2,-69.7764458168,-95.4523562519,-121.128266687,25.6759104352,-0.0249053746228,-0.0954523562519,-0.130334155587,0.0319625012685,8,8000,1001,1000.0,999,1.0,8000,0.043275935007841326,132.94006721314508,64.67924229100754,30.650658130005468,0.024113999999826774,37.4302237121301,0.11237042999709956,403.1522942289157,0.00018271499720867723,0.5486379861831665,-2.019164800643921,-1.05045,-1.3635,-2.29702,0.147205,-8.27852,7.95434,7.53054,7.14759,0.181232,7.9428,7.53133,7.15589,0.173072,8.01614,7.54102,7.16162,0.177812,0.00704458,0.00736271,3000,0.0120139,0.000883631,-0.00945655,0.00966272,-0.126046,-0.143185,-0.163505,0.00666556,0.881574,0.866613,0.849162,0.00577245
3,-0.00258789,-0.00712767,-0.0116784,0.00448349,-115.868919775,4,-94.3494252379,-115.868919775,-123.288410006,12.4263625402,-0.0934444515411,-0.115753166609,-0.123563356314,0.0124170162683,16,16016,1001,1001.0,1001,0.0,0.997835,-0.00942718,-0.995334,0.58363,-89.2180314235,2,-75.895839922,-89.2180314235,-102.540222925,13.3221915016,-0.0595469968728,-0.0892180314235,-0.124087720952,0.021173600561,10,10000,1001,1000.0,999,1.0,10000,0.03424145499593578,112.62599026954558,58.733246096002404,27.559288445001584,0.035837388000800274,26.149415293548373,0.11381376600184012,517.2103820366319,0.00014782599464524537,0.4064491391181946,-3.034377098083496,-1.07671,-1.37042,-2.44743,0.16492,-10.2881,10.4925,9.7437,9.1204,0.311997,10.5652,9.7437,9.08777,0.319264,10.5528,9.74386,9.10342,0.320397,0.00398749,0.00440725,4000,-0.00226678,-0.00708934,-0.0125706,0.00444415,-0.123192,-0.139492,-0.156967,0.00585679,0.884094,0.869815,0.854732,0.00509069
4,0.000452036,-0.00587709,-0.0122634,0.00628859,-104.562005279,4,-88.3933752544,-104.562005279,-121.782389243,14.0859365064,-0.0875627807116,-0.104457547731,-0.123423212353,0.0142439941266,20,20020,1001,1001.0,1001,0.0,0.996429,-0.0131496,-0.995551,0.589966,-82.6054042524,2,-73.5827156143,-82.6054042524,-91.6280928905,9.02268863814,-0.0399429087585,-0.0826054042524,-0.125511534114,0.0262099183737,12,12000,1001,1000.0,999,1.0,12000,0.03541578499425668,128.9436053649988,73.2611612900073,26.280901107995305,0.04146968899294734,29.169188116007717,0.15532628299843054,647.5888252808072,0.00014309400285128504,0.30109328031539917,-4.045781135559082,-1.05667,-1.37054,-2.83395,0.192436,-11.5405,12.3712,11.163,10.2035,0.379248,12.2787,11.1367,10.0956,0.379606,12.2821,11.1349,10.1226,0.378526,0.00442704,0.00420108,5000,0.00144171,-0.00589215,-0.0131266,0.00620149,-0.110953,-0.126538,-0.140123,0.00446226,0.894981,0.881149,0.869251,0.00393462
5,-0.00378609,-0.00456435,-0.00528474,0.000683628,-120.564295989,4,-115.282105424,-120.564295989,-123.086156124,3.13163635062,-0.113748923962,-0.120443852137,-0.125667252686,0.00354616099478,24,24024,1001,1001.0,1001,0.0,0.997581,0.00948672,-0.997855,0.592633,-101.873884058,2,-92.5162890659,-101.873884058,-111.23147905,9.35759499206,-0.0655323594254,-0.101873884058,-0.123151190089,0.0168882562111,14,14000,1001,1000.0,999,1.0,14000,0.04006361399660818,128.68890892504714,69.09417176300485,24.778869004992885,0.029626910996739753,34.61961109706317,0.12641292499029078,777.7927379861067,0.00015361000259872526,0.2230643630027771,-5.094904899597168,-1.08338,-1.39594,-3.43601,0.215092,-12.249,13.4681,11.9496,9.2992,0.522719,13.4669,11.9444,9.18492,0.528434,13.4682,11.9431,9.20579,0.525658,0.00337204,0.00301542,6000,-0.00197959,-0.00457437,-0.0061512,0.000827155,-0.118441,-0.133622,-0.147112,0.00426144,0.888304,0.874929,0.863197,0.00372963
6,0.00186298,-0.00126596,-0.00415874,0.00278192,-119.578503417,4,-115.34854634,-119.578503417,-123.664043189,4.02428464942,-0.112580836089,-0.119459044373,-0.126568955176,0.00453875579303,28,28028,1001,1001.0,1001,0.0,0.999147,0.0121928,-0.994674,0.595609,-87.3733324807,2,-86.8449459666,-87.3733324807,-87.9017189949,0.528386514111,-0.0634761746816,-0.0873733324807,-0.122604599583,0.0156847771719,16,16000,1001,1000.0,999,1.0,16000,0.04954895698756445,130.00227943403297,67.91140520399495,23.138194660990848,0.029643293004482985,38.754152812063694,0.11917240799812134,909.4140759124421,0.00016209899331443012,0.16525094211101532,-6.079050540924072,-0.978382,-1.37671,-2.59691,0.166822,-12.3888,14.0253,12.1605,10.0869,0.736468,14.202,12.1722,10.0535,0.747442,14.1978,12.1685,10.0344,0.752462,0.00761913,0.00742584,7000,0.00487871,-0.00138513,-0.00472069,0.00282233,-0.0963318,-0.125693,-0.144661,0.00788458,0.908163,0.881913,0.865315,0.0069676
7,-0.00265421,-0.0059149,-0.00903206,0.00308432,-119.433133302,4,-116.671027528,-119.433133302,-122.530202859,2.74332624465,-0.114232556967,-0.119313819482,-0.125575403169,0.00337448450586,32,32032,1001,1001.0,1001,0.0,0.997812,0.00616616,-0.995127,0.586031,-91.2051546739,2,-77.8215125358,-91.2051546739,-104.588796812,13.383642138,-0.0505329493203,-0.0912051546739,-0.124924647561,0.0196870921527,18,18000,1001,1000.0,999,1.0,18000,0.03993520000949502,123.4626754239871,63.64135845900455,25.529850300008547,0.0245389940100722,34.10428590295487,0.12245320499641821,1034.4957336555235,0.0002533630031393841,0.12242281436920166,-7.089648246765137,-1.0295,-1.37558,-2.86226,0.177138,-12.6167,14.4169,12.472,10.4921,0.697161,14.3792,12.4563,10.4455,0.696008,14.3873,12.4523,10.4421,0.693951,0.00243393,0.00242887,8000,0.00461203,-0.00587781,-0.00964101,0.00324639,-0.0903629,-0.129252,-0.150748,0.00742489,0.9136,0.878777,0.860064,0.00655626
8,0.00993758,-0.0141604,-0.0366045,0.022339,-120.692021343,4,-117.331023709,-120.692021343,-123.255078613,2.18196297128,-0.112806346125,-0.120571449893,-0.12749519384,0.00306380363325,36,36036,1001,1001.0,1001,0.0,0.998455,-0.0142076,-0.996812,0.592204,-92.9077360919,2,-83.919872081,-92.9077360919,-101.895600103,8.98786401092,-0.0398385279604,-0.0929077360919,-0.125662285609,0.0237687250956,20,20000,1001,1000.0,999,1.0,20000,0.03851056800340302,120.10241044088616,60.32335947800311,26.576167531995452,0.02561116601282265,33.02193458485999,0.11666053600492887,1156.1813216153823,0.000166576006449759,0.0906931608915329,-8.078252792358398,-0.987105,-1.36556,-1.82106,0.142248,-12.4721,14.4615,12.3215,9.62679,0.78697,14.5051,12.3586,9.49117,0.800637,14.5027,12.3497,9.47442,0.796794,0.00495715,0.00417586,9000,0.0268065,-0.0133347,-0.0376867,0.022136,-0.03963,-0.121963,-0.137574,0.0110001,0.961145,0.885236,0.87147,0.00993598
9,0.00699996,-0.0179311,-0.0391179,0.0210674,-120.068712482,4,-118.579671422,-120.068712482,-122.680265327,1.65246739145,-0.114101495337,-0.119948763718,-0.12746519663,0.00302397841971,40,40040,1001,1001.0,1001,0.0,0.996217,0.00222338,-0.993025,0.591652,-92.5819479431,2,-73.0498115176,-92.5819479431,-112.114084368,19.5321364254,-0.026668800328,-0.0925819479431,-0.12384045391,0.0280712672921,22,22000,1001,1000.0,999,1.0,22000,0.04663174400047865,119.72071494888223,59.531255791007425,26.834850425002514,0.02627527600270696,33.17275401887309,0.10879334699711762,1277.4833618782286,0.00015434699889738113,0.06718923151493073,-9.053632736206055,-0.926651,-1.3529,-4.63939,0.254557,-11.9902,14.711,11.8799,8.80906,0.887836,14.766,11.9029,8.69045,0.888892,14.7653,11.9024,8.68876,0.889774,0.00358101,0.00355483,10000,0.0748034,-0.0131636,-0.0452666,0.025551,-0.0318723,-0.127373,-0.165012,0.0153359,0.96863,0.88051,0.847883,0.0137419
