Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,1.51858e-05,-9.95311e-07,-1.88462e-05,8.52041e-06,-1047.6956902,24,-936.402071627,-1047.6956902,-1115.74587631,73.7960695404,-4.51205701351,-5.21241636917,-6.13577998347,0.408643254849,24,4824,201,201.0,201,0.0,0.996225,-0.00412523,-0.999732,0.623487,-195.916490915,10,-80.8972998231,-195.916490915,-282.499387875,59.513156332,-1.06425951388e-26,-0.979582454576,-6.13282790298,1.58697798571,20,4000,201,200.0,191,3.0,4000,0.0360896399943158,84.68405639356934,25.501923260017065,9.879152420995524,0.02315464901039377,49.210604498541215,0.032988238002872095,103.3482892945176,0.00014368700794875622,1.0,-0.0,-0.551054,-1.3387,-1.83203,0.323069,-1.33867,1.82378,0.0753246,-5.12694,1.64501,0.000696239,7.79905e-05,-0.000456552,0.000224601,0.000511581,0.000111859,-0.000388422,0.000175929,2.71164,2.71176,1000,0.000156341,-1.58935e-05,-0.000197864,7.13984e-05,-0.000134775,-0.000414826,-0.000624494,0.000127904,0.999865,0.999585,0.999376,0.000127852
1,0.00659903,0.00425704,0.00205968,0.00215612,-1020.21824658,24,-943.309678392,-1020.21824658,-1111.66535635,70.2261350824,-4.65396035016,-5.07571266955,-6.13571372196,0.420486866124,48,9648,201,201.0,201,0.0,0.99854,0.000445395,-0.995619,0.585608,-246.50840675,10,-93.878568679,-246.50840675,-331.050443214,67.5960849244,-2.50506819268e-17,-1.23254203375,-6.11810728494,1.40677255231,30,6000,201,200.0,191,3.0,6000,0.04276263900101185,109.20166556691402,28.742667035985505,10.88933787899441,0.076367682981072,69.35118291195249,0.09892641598707996,214.23514046668424,0.00042100201244466007,0.9703856110572815,-0.10082484036684036,-1.03075,-1.35392,-2.75079,0.177652,-1.59476,1.95039,0.182571,-4.63321,1.68421,0.825458,0.309324,-0.0492107,0.317134,0.859744,0.308128,-0.0403892,0.305124,2.19414,2.22989,2000,0.00874952,0.00485639,0.00175466,0.00247281,-0.104281,-0.128556,-0.156565,0.012791,0.900972,0.879436,0.855076,0.0112333
2,-3.50527e-05,-0.00397157,-0.00791088,0.00391014,-1046.1919268,24,-915.919287246,-1046.1919268,-1109.18662895,64.3604238016,-4.51085950652,-5.20493495922,-6.12306510717,0.360477629377,72,14472,201,201.0,201,0.0,0.993847,-0.00536353,-0.993883,0.593528,-287.369703229,10,-130.391687389,-287.369703229,-460.676143396,110.247380353,-3.44640241192e-27,-1.43684851615,-6.14153080585,1.58117160587,40,8000,201,200.0,191,3.0,8000,0.03839612100273371,90.7605978276988,23.862924457003828,9.24464650999289,0.07667039899388328,57.49626352271298,0.04154131299583241,306.6418051025539,0.00015550499665550888,0.9416837692260742,-0.20161524415016174,-1.02674,-1.35546,-2.86882,0.17536,-2.50544,4.44566,1.08978,-5.08648,2.41747,3.82036,1.2728,-0.339242,1.48835,3.90864,1.29619,-0.280155,1.48252,1.8859,1.94403,3000,0.000560748,-0.00424748,-0.0118218,0.00427655,-0.112563,-0.135428,-0.196022,0.0125389,0.893541,0.87341,0.821994,0.0108795
3,-0.00734092,-0.0130251,-0.0186168,0.00548542,-1057.74196123,24,-911.075678884,-1057.74196123,-1112.2234194,64.8315318944,-4.51085950652,-5.26239781706,-6.1341365253,0.385632163309,96,19296,201,201.0,201,0.0,0.994056,-0.0182606,-0.996107,0.588675,-233.54998237,10,-93.2864388114,-233.54998237,-423.135721869,104.404360992,-2.84710420988e-27,-1.16774991185,-6.11968465633,1.41606669873,50,10000,201,200.0,191,3.0,10000,0.033007727994117886,101.93646934817662,31.880243256979156,10.896362036990467,0.03423595300409943,59.051080335251754,0.04136740497779101,410.2615745247458,0.0001726329792290926,0.913845419883728,-0.3023381233215332,-1.02365,-1.35581,-2.04788,0.130451,-3.3568,8.46234,1.75604,-5.81691,3.81755,8.20621,2.15615,-0.942477,3.06311,8.22504,2.24003,-0.705854,2.98906,1.89234,2.10551,4000,-0.0067309,-0.0137691,-0.024472,0.00590976,-0.117111,-0.13684,-0.174487,0.0104374,0.889487,0.872158,0.839887,0.00907806
4,-0.0160889,-0.0257165,-0.0352775,0.00922468,-1026.57528836,24,-912.654872003,-1026.57528836,-1113.71241201,76.2197939523,-4.51085950652,-5.10733974306,-6.13398687666,0.430017383525,120,24120,201,201.0,201,0.0,0.99261,-0.015346,-0.997839,0.581797,-213.286865322,10,-46.7850014408,-213.286865322,-395.588448415,104.052331025,-5.54597909583e-27,-1.06643432661,-6.12957548324,1.41601565863,60,12000,201,200.0,191,3.0,12000,0.042671240982599556,96.93547474022489,24.037588712992147,9.437391510989983,0.044576913001947105,63.31612547725672,0.05694948000018485,509.17653335869545,0.00017140500131063163,0.8868370652198792,-0.4046720564365387,-0.997261,-1.36963,-2.11306,0.161687,-4.57646,13.2183,3.0705,-6.46568,5.65278,12.9907,3.39024,-1.94182,5.04454,13.0004,3.55042,-1.48996,4.89009,1.92162,2.24569,5000,-0.0140056,-0.027402,-0.0481846,0.010107,-0.107408,-0.136419,-0.181758,0.0119858,0.898159,0.872539,0.833803,0.0103712
5,-0.0179603,-0.033156,-0.0482893,0.0147842,-1037.5208696,24,-914.143475648,-1037.5208696,-1107.40954485,67.8026919396,-4.51085950652,-5.16179537116,-6.13405562233,0.39425499141,144,28944,201,201.0,201,0.0,0.996207,-0.0326472,-0.995723,0.578037,-244.059397919,10,-124.501193337,-244.059397919,-461.566099913,103.266294283,-3.20155387317e-11,-1.22029698959,-6.12412180059,1.52419686757,70,14000,201,200.0,191,3.0,14000,0.029369332012720406,96.4739163525519,22.017359340999974,9.45049916600692,0.07499452700722031,64.82927133652265,0.0722615139966365,607.4407137428061,0.0001611360057722777,0.8606289625167847,-0.5092542171478271,-0.974456,-1.39295,-3.45457,0.196025,-4.1622,17.8896,2.82723,-7.68445,6.84097,17.9492,3.03871,-3.26624,6.35753,17.8927,3.21378,-2.60067,6.1775,1.42475,2.02004,6000,-0.0158051,-0.0353396,-0.0631004,0.0160694,-0.108849,-0.134769,-0.167766,0.011477,0.896866,0.873975,0.845552,0.00998218
6,-0.017219,-0.0352662,-0.0533868,0.0177203,-1043.62240334,24,-918.590088753,-1043.62240334,-1109.71716564,78.979998034,-4.51085950652,-5.19215126042,-6.13394361699,0.434114933961,168,33768,201,201.0,201,0.0,0.993973,-0.0361,-0.99521,0.580349,-226.448535004,10,-142.971617363,-226.448535004,-289.784773133,48.7110875867,-7.95389181376e-25,-1.13224267502,-6.14125231165,1.53746773766,80,16000,201,200.0,191,3.0,16000,0.07020819198805839,101.4963252954185,24.048777126998175,11.686950268020155,0.04657859497820027,65.56997754643089,0.07368905100156553,710.7747645308846,0.00014451600145548582,0.8352010250091553,-0.6084638237953186,-0.928933,-1.3788,-3.7598,0.220005,-4.29969,22.6097,3.04264,-9.17038,8.54607,22.6585,3.19085,-5.14073,8.04649,22.6556,3.42348,-4.24612,7.8253,2.07278,2.82089,7000,-0.0146932,-0.0374931,-0.073617,0.0191546,-0.106932,-0.136512,-0.181255,0.0112388,0.898587,0.872451,0.834223,0.00976622
7,-0.0255573,-0.0420435,-0.0584093,0.0160439,-1041.34287,24,-910.766405668,-1041.34287,-1117.35579523,77.9634999923,-4.51085950652,-5.1808102985,-6.13369922738,0.420627469837,192,38592,201,201.0,201,0.0,0.996428,-0.0325588,-0.99757,0.590078,-244.979372185,10,-39.2625728786,-244.979372185,-377.0301195,95.5816781079,-8.18361140061e-18,-1.22489686092,-6.14084779164,1.5436013216,90,18000,201,200.0,191,3.0,18000,0.04969413499929942,90.71463579533156,20.8048919569992,12.216242113005137,0.0308720700268168,57.576251743303146,0.036542424000799656,803.0426708237792,0.000141352997161448,0.8105224967002869,-0.7072994709014893,-0.915652,-1.36687,-2.12473,0.171085,-3.5712,27.7082,2.22859,-11.625,10.2574,27.6755,2.52242,-7.8019,9.76546,27.7105,2.86757,-6.2116,9.43938,2.29764,3.52935,8000,-0.023186,-0.0441146,-0.0731653,0.0171425,-0.112696,-0.133958,-0.162936,0.0092602,0.893423,0.874664,0.849646,0.00807032
8,-0.0304859,-0.0531942,-0.0758277,0.0222745,-1052.00711865,24,-886.426134176,-1052.00711865,-1106.58574153,77.9678854647,-4.35670882669,-5.23386626195,-6.13178497237,0.425091158286,216,43416,201,201.0,201,0.0,0.997876,-0.0444546,-0.995141,0.587782,-247.490017233,10,-166.361971047,-247.490017233,-470.062290892,98.3271812026,-3.40607985489e-23,-1.23745008616,-6.10552176003,1.57325616899,100,20000,201,200.0,191,3.0,20000,0.13161048301844858,102.26658657524968,28.50826722700731,14.752870661002817,0.054559434996917844,58.778447639226215,0.040686480992008,907.3772113149462,0.0001446490059606731,0.7865718603134155,-0.8052975535392761,-0.891644,-1.35441,-2.34217,0.189272,-4.46271,32.3021,3.3549,-13.9042,12.6055,32.368,3.46227,-10.2734,12.2764,32.3901,3.71416,-9.15822,12.0165,1.49705,2.44355,9000,-0.0284312,-0.0561831,-0.0986464,0.0239374,-0.115561,-0.133212,-0.164645,0.00920365,0.890867,0.875316,0.848194,0.00803393
9,-0.0344064,-0.0624575,-0.0905675,0.0277649,-1023.29143505,24,-879.118391606,-1023.29143505,-1109.95023012,77.6368393109,-4.35670882669,-5.09100216445,-6.13189427366,0.453501154007,240,48240,201,201.0,201,0.0,0.996998,-0.0438396,-0.998242,0.581946,-252.213029865,10,-135.766805245,-252.213029865,-385.091163085,77.8590384356,-2.4283295886e-26,-1.26106514932,-6.14138367398,1.61061681205,110,22000,201,200.0,191,3.0,22000,0.028771173005225137,92.41901423418312,22.720092020987067,9.277171793015441,0.046535511006368324,60.28299190016696,0.06320916599361226,1001.6404718089907,0.00024267000844702125,0.7633353471755981,-0.9072792530059814,-0.83834,-1.35957,-2.2631,0.202987,-3.18377,36.4832,2.02784,-17.0593,14.4614,36.5544,2.21779,-14.6262,14.0401,36.5479,2.52493,-12.3797,13.7086,3.34675,4.63605,10000,-0.0315624,-0.0664183,-0.118542,0.0300007,-0.114648,-0.137036,-0.172261,0.00971806,0.89168,0.87198,0.841759,0.00844553
