Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,1.13446e-06,-3.18525e-06,-1.26467e-05,3.92977e-06,-1220.62897991,24,-1156.49245785,-1220.62897991,-1231.88748479,14.8367416937,-5.44126981337,-6.07278099457,-6.14203400682,0.10015014693,24,4824,201,201.0,201,0.0,0.998149,0.00698439,-0.996853,0.625107,-1102.80120045,10,-796.391087181,-1102.80120045,-1187.35847862,108.04663264,-2.85949478609,-5.51400600227,-6.14203212737,0.668493920637,20,4000,201,200.0,191,3.0,4000,0.02981121200718917,38.456846802902874,17.257405583979562,7.10686012901715,0.021955726988380775,14.010298677894752,0.03039573601563461,49.19647454700316,0.00011973700020462275,1.0,-0.0,-0.533046,-1.36016,-1.85782,0.308058,-1.36027,-1.24601,-4.25165,-5.47238,0.661136,0.000533564,0.00020093,-4.34813e-05,0.000143908,0.000336601,0.000116562,3.95373e-06,7.13854e-05,18.5153,18.5146,1000,1.52083e-05,-1.76723e-06,-1.47866e-05,5.44486e-06,0.000177487,-1.30722e-05,-0.000192601,0.000163653,1.00018,0.999987,0.999807,0.000163651
1,-0.0230018,-0.0392268,-0.0564545,0.0161161,-1214.3087212,24,-1179.30091139,-1214.3087212,-1231.19879197,15.2766120522,-5.49915570301,-6.0413369214,-6.14203599186,0.118675176727,48,9648,201,201.0,201,0.0,0.995653,-0.0279981,-0.994968,0.570415,-1117.58540722,10,-975.083593793,-1117.58540722,-1175.08877606,71.1406914654,-3.12034983235,-5.58792703612,-6.14203319642,0.584848753085,30,6000,201,200.0,191,3.0,6000,0.032527055009268224,39.48281169339316,17.53366908300086,7.136664140998619,0.021653770003467798,14.730588692385936,0.027588316006585956,89.86045208238647,0.00012063598842360079,0.970389723777771,-0.10112439095973969,-1.09392,-1.36436,-3.29399,0.19262,0.186838,-2.43309,-5.01345,-5.83979,0.636754,-1.23645,-1.43905,-1.86143,0.134163,-1.1555,-1.42558,-1.85847,0.180984,13.2013,13.323,2000,-0.0201205,-0.0391718,-0.05668,0.0161221,-0.159615,-0.185729,-0.191938,0.00467889,0.852472,0.830508,0.825358,0.00391436
2,-0.0860977,-0.113249,-0.141607,0.0267824,-1215.98453208,24,-1171.56269477,-1215.98453208,-1230.58683534,15.0027659461,-5.24231255687,-6.04967428894,-6.14203520207,0.10571860266,72,14472,201,201.0,201,0.0,0.997491,-0.0918986,-0.995713,0.554927,-1123.69611296,10,-1028.22052505,-1123.69611296,-1184.46449168,40.7406703713,-3.84334412862,-5.61848056482,-6.14203721408,0.467973446716,40,8000,201,200.0,191,3.0,8000,0.03174752098857425,38.37148095565499,17.149616590992082,7.1437275760108605,0.028142619994468987,13.991021694673691,0.02708084401092492,129.39040526672034,0.0001441089843865484,0.9418103694915771,-0.19987380504608154,-0.863894,-1.33393,-3.39342,0.277539,7.53248,-8.53738,-11.1233,-12.2239,0.519488,-8.30976,-8.76686,-9.71683,0.285218,-8.3364,-8.74552,-9.40789,0.235309,5.90667,5.9755,3000,-0.0787934,-0.113151,-0.14297,0.0267884,-0.186039,-0.220723,-0.242084,0.0162799,0.830242,0.802045,0.78499,0.0130566
3,0.0323828,0.0268691,0.0215081,0.00531757,-1222.12606739,24,-1194.29122516,-1222.12606739,-1231.73397511,9.52595947979,-5.59695727276,-6.08022919102,-6.1420367418,0.0810725019342,96,19296,201,201.0,201,0.0,0.992982,0.0247199,-0.998031,0.559801,-1126.19083451,10,-1082.89916983,-1126.19083451,-1168.18365231,26.1958508039,-4.87012175983,-5.63095417255,-6.14203384095,0.334647265087,50,10000,201,200.0,191,3.0,10000,0.028775712999049574,38.108629350957926,17.085335294977995,7.096392433973961,0.021740036987466738,13.849153121031122,0.02708661599899642,168.65639667276992,0.000146134989336133,0.9139093160629272,-0.30528247356414795,-1.11861,-1.39113,-3.16565,0.23905,20.2972,-5.44634,-22.7572,-23.7892,1.63986,-20.6056,-21.5551,-22.4205,0.206856,-20.7398,-21.5363,-22.0333,0.171719,4.08073,4.13004,4000,0.0325223,0.0268326,0.0206511,0.0053178,-0.188278,-0.198112,-0.202167,0.00211465,0.828384,0.82028,0.816959,0.00173731
4,0.0226826,0.0119273,0.00137845,0.0104945,-1205.12370444,24,-1158.05344927,-1205.12370444,-1231.54244724,22.6072919995,-5.31649727772,-5.99564032059,-6.14203157521,0.166782214004,120,24120,201,201.0,201,0.0,0.9989,0.0130615,-0.993661,0.585026,-1143.48936167,10,-1087.2073463,-1143.48936167,-1187.36813542,34.9078416535,-3.96482766589,-5.71744680837,-6.14202479682,0.331202472071,60,12000,201,200.0,191,3.0,12000,0.03333588197710924,38.1652546338446,17.103294462984195,7.060275591997197,0.028780427994206548,13.913086497894255,0.026333768997574225,207.9888947426807,0.00014800200005993247,0.8868489861488342,-0.4033866822719574,-1.11019,-1.3593,-2.47593,0.138359,36.4276,-33.5546,-38.4495,-39.3217,0.749403,-34.2577,-37.6155,-38.1029,0.433153,-34.7387,-37.6003,-38.1018,0.403754,0.900792,0.9271,5000,0.0231512,0.0119181,0.00130103,0.0104747,-0.158408,-0.1656,-0.173016,0.00201405,0.853502,0.847387,0.841124,0.00170706
5,0.041524,0.00657084,-0.0282941,0.0344708,-1219.0808961,24,-1196.48199054,-1219.0808961,-1231.34360489,10.3976136599,-5.70386536652,-6.06507908509,-6.14203672734,0.0829911334784,144,28944,201,201.0,201,0.0,0.992668,0.0032318,-0.996832,0.582216,-1098.05736487,10,-1019.17970323,-1098.05736487,-1187.83530792,52.3136358785,-3.34102333644,-5.49028682437,-6.14199908363,0.620645310534,70,14000,201,200.0,191,3.0,14000,0.031698416016297415,45.96183416197891,17.90610119298799,6.748507468990283,0.02865056399605237,21.170333816990023,0.07639942999230698,255.19858221214963,0.00014327300596050918,0.8606165647506714,-0.5078948140144348,-1.0228,-1.38357,-2.80259,0.184505,54.0888,-4.97072,-55.3729,-56.7486,4.58972,-47.7043,-55.2516,-56.2087,0.886538,-48.101,-55.2361,-55.8666,0.875214,20.0234,20.1584,6000,0.0419753,0.00657395,-0.0286834,0.0344963,-0.1445,-0.150767,-0.155655,0.0017424,0.865455,0.860049,0.855854,0.00149892
6,0.0411459,0.00889424,-0.0230624,0.0312645,-1216.82840853,24,-1145.93167165,-1216.82840853,-1231.39093917,21.1401470635,-5.26353970845,-6.05387267924,-6.1420365223,0.146852462083,168,33768,201,201.0,201,0.0,0.994399,0.0169911,-0.997735,0.581716,-1138.19211975,10,-1022.92528717,-1138.19211975,-1174.34042219,42.0327259384,-4.1383632178,-5.69096059875,-6.14201090738,0.370836812857,80,16000,201,200.0,191,3.0,16000,0.030234145000576973,45.554245919629466,19.573705212009372,9.828371846990194,0.021665687992936,16.071925484662643,0.028202302986755967,302.04502870707074,0.0001412399869877845,0.835172176361084,-0.6040284037590027,-1.00178,-1.35353,-2.10782,0.150037,72.0573,-5.06182,-72.6698,-74.7623,8.62666,-62.3132,-73.1573,-74.1596,1.40493,-62.7528,-73.1593,-74.2104,1.36138,73.7292,73.7188,7000,0.0415395,0.00889294,-0.0233115,0.0312479,-0.134587,-0.142345,-0.149267,0.00206378,0.874077,0.867324,0.861339,0.00178963
7,0.0799368,0.0248611,-0.0295252,0.0538359,-1216.98793267,24,-1194.83073595,-1216.98793267,-1231.07136737,11.4633469185,-5.53769773192,-6.05466633167,-6.14203677624,0.105846356093,192,38592,201,201.0,201,0.0,0.99427,0.0077684,-0.996237,0.587592,-1148.62858074,10,-1091.32301348,-1148.62858074,-1178.38057923,27.2792566336,-4.88820826369,-5.74314290369,-6.14201621397,0.277280232757,90,18000,201,200.0,191,3.0,18000,0.027713718998711556,37.84729165874887,16.133263761992566,6.72197582302033,0.02373267599614337,14.910237970761955,0.03023770300205797,341.0674772787024,0.00013000497710891068,0.8104904294013977,-0.7079054713249207,-0.898463,-1.36912,-2.13639,0.173262,89.5894,-5.41524,-90.3261,-92.9174,9.60887,-72.958,-90.6594,-92.4011,2.43636,-73.4292,-90.6712,-92.5345,2.42697,87.2052,87.3038,8000,0.0826622,0.0248351,-0.0307849,0.0537689,-0.132344,-0.13934,-0.148255,0.00180825,0.87604,0.869933,0.862211,0.00157183
8,0.0898661,0.0207101,-0.0477801,0.0674926,-1217.89053056,24,-1188.95427652,-1217.89053056,-1231.49922959,12.8323044388,-5.5947264271,-6.05915686847,-6.14203234178,0.0988645673293,216,43416,201,201.0,201,0.0,0.991758,0.0283364,-0.9953,0.589981,-1146.0815226,10,-1028.86477356,-1146.0815226,-1190.27955193,46.402254857,-4.26376612683,-5.73040761302,-6.14203466273,0.373968515191,100,20000,201,200.0,191,3.0,20000,0.03273548700963147,38.94569569846499,15.9598848260066,7.365252247982426,0.02311076398473233,15.538609738490777,0.025966365996282548,381.2697981156525,0.00013626899453811347,0.7865408658981323,-0.8028666377067566,-0.852324,-1.34374,-2.70057,0.234131,107.383,-88.6294,-109.007,-111.13,2.60551,-89.2099,-108.434,-110.577,2.4132,-89.5693,-108.446,-110.647,2.42663,0.535117,0.511035,9000,0.0920752,0.0206913,-0.0491799,0.0674092,-0.135791,-0.143014,-0.15162,0.00197053,0.873025,0.866744,0.859315,0.00170716
9,0.0515274,0.0172871,-0.0163235,0.0331766,-1210.73751648,24,-1132.3489884,-1210.73751648,-1231.35909625,25.5418439982,-5.11234076476,-6.02356973373,-6.14203624706,0.183789192855,240,48240,201,201.0,201,0.0,0.999137,0.00283234,-0.996377,0.584215,-1139.97215893,10,-1088.64651831,-1139.97215893,-1191.42741232,36.8380721627,-4.51783386962,-5.69986079467,-6.14202053071,0.317851132445,110,22000,201,200.0,191,3.0,22000,0.023448128980817273,31.747805471968604,15.159811739984434,5.258761384990066,0.016357823013095185,11.26979890500661,0.019518099987180904,414.03702015351155,0.00010939000640064478,0.7632943987846375,-0.9114872813224792,-0.965791,-1.37449,-2.37075,0.177725,124.022,-5.90691,-125.42,-128.675,7.84094,-102.89,-125.031,-127.87,2.27263,-102.447,-125.019,-127.924,2.29275,54.9453,54.9459,10000,0.0528956,0.0172532,-0.0169566,0.0330889,-0.131643,-0.138758,-0.147625,0.00165772,0.876654,0.87044,0.862754,0.00144218
