Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,2.1232e-06,-3.90555e-06,-1.24745e-05,4.73289e-06,-23.8289712759,24,-18.4773182619,-23.8289712759,-25.0071745504,1.97238930992,-0.0905181004996,-0.1185520959,-0.125717605174,0.00987750004263,24,4824,201,201.0,201,0.0,0.997485,0.00718793,-0.998841,0.624566,-22.90019619,10,-21.1354680966,-22.90019619,-24.7535898873,1.11267807951,-0.0752479939604,-0.11450098095,-0.125745412779,0.00870402672351,20,4000,201,200.0,191,3.0,4000,0.050369142001727596,186.89430387408356,73.96424778499932,31.43317313300213,0.030729181002243422,81.36474841408199,0.05086321099952329,221.14572472902364,0.00017300799663644284,1.0,-0.0,-0.546594,-1.33579,-3.69261,0.346104,-1.33568,1.73587,1.22499,-0.108827,0.322016,0.00032394,4.32183e-05,-0.000303278,0.00014988,0.000180203,-7.85928e-05,-0.000357578,0.000120734,1.6042,1.6045,1000,1.36679e-05,-5.34245e-06,-3.48347e-05,7.97022e-06,-0.000228729,-0.000395325,-0.000552688,0.00014368,0.999771,0.999605,0.999447,0.000143623
1,-0.0185365,-0.024665,-0.0309195,0.00605976,-23.9108677023,24,-18.2367025358,-23.9108677023,-24.8067346737,1.73028602305,-0.0886891810653,-0.118959540807,-0.126542485114,0.00866093798343,48,9648,201,201.0,201,0.0,0.994911,-0.0120727,-0.998816,0.596974,-22.8927155167,10,-19.8261709445,-22.8927155167,-24.3816160473,1.59786146577,-0.0701962815401,-0.114463577583,-0.126568028069,0.0122124810037,30,6000,201,200.0,191,3.0,6000,0.05128577300638426,160.02053236718348,74.63733967799635,32.20711211200978,0.03739231699728407,53.05524113417778,0.032000068997149356,382.58859806925466,0.0001612839987501502,0.9703815579414368,-0.10134486109018326,-0.930371,-1.37075,-2.92827,0.182932,-2.48535,2.21035,1.8361,1.53199,0.119969,1.44717,1.20678,1.0934,0.0791665,1.58416,1.22639,1.02189,0.145918,0.416878,0.408905,2000,-0.0176974,-0.0246874,-0.0315663,0.00606808,-0.100324,-0.110453,-0.118028,0.00466399,0.904545,0.895438,0.888671,0.00417629
2,-0.00995061,-0.013545,-0.0172084,0.00354442,-23.7349293568,24,-18.0924142558,-23.7349293568,-24.8697747711,2.03103278467,-0.0891410186642,-0.118084225656,-0.126136911673,0.0101521644536,72,14472,201,201.0,201,0.0,0.996599,0.00167822,-0.999437,0.600625,-23.0924655616,10,-18.6530339329,-23.0924655616,-25.0469127126,2.1882979858,-0.0808088122914,-0.115462327808,-0.127251448007,0.0121310851125,40,8000,201,200.0,191,3.0,8000,0.04104120799456723,152.8167281740316,70.93428814399522,28.593344319000607,0.02891877699585166,53.18286528605677,0.03610041599313263,536.934695700329,0.00017002399545162916,0.941694438457489,-0.20130375027656555,-0.899285,-1.3509,-1.98035,0.187772,-6.38175,6.25958,5.31868,5.07313,0.148296,5.53183,5.14024,4.97762,0.120269,5.44674,5.14284,5.02649,0.0988693,0.0725738,0.0660615,3000,-0.00956817,-0.0135398,-0.0178438,0.00355018,-0.0795432,-0.0831896,-0.0873363,0.00108997,0.923538,0.920177,0.916369,0.00100302
3,-0.00463106,-0.00812822,-0.0116443,0.00346366,-23.323614765,24,-18.1621465663,-23.323614765,-25.0568425775,2.42629242008,-0.0889981204065,-0.116037884403,-0.127237542776,0.0121031537832,96,19296,201,201.0,201,0.0,0.996479,0.00690971,-0.996725,0.592491,-22.8820732396,10,-18.3518811376,-22.8820732396,-25.3084385298,2.00182208946,-0.0801182066831,-0.114410366198,-0.128324040134,0.0130879202113,50,10000,201,200.0,191,3.0,10000,0.03475476099993102,143.30156538414303,69.7912087480072,26.48439591600618,0.029808492996380664,46.92820476213819,0.032863700995221734,681.8226246319828,0.0003290029999334365,0.9138517379760742,-0.30234938859939575,-0.944564,-1.3562,-2.38554,0.183125,-10.987,10.1456,9.80658,-0.119472,0.632131,10.0577,9.76135,9.59563,0.0786365,10.0207,9.75886,9.59483,0.0658168,0.40093,0.398624,4000,-0.00440938,-0.00814342,-0.012253,0.00347359,-0.0970546,-0.103958,-0.111498,0.00266663,0.907506,0.901267,0.894493,0.00240328
4,-0.00295067,-0.00348839,-0.00402514,0.000509059,-24.4047361133,24,-23.7357873858,-24.4047361133,-24.7248367343,0.31304066677,-0.115164833122,-0.121416597578,-0.123944565008,0.00186348659384,120,24120,201,201.0,201,0.0,0.994105,0.0197244,-0.994756,0.593933,-22.8406377128,10,-17.9656819905,-22.8406377128,-25.2746297205,2.11647076262,-0.0869856696106,-0.114203188564,-0.127545533602,0.0119804200792,60,12000,201,200.0,191,3.0,12000,0.03899145500326995,166.58619587695284,74.41109442200104,27.5384461539943,0.050353347993223,64.46232559996133,0.08432525799435098,849.988127881632,0.0006596400053240359,0.8868303298950195,-0.4051339626312256,-1.02454,-1.37326,-2.56816,0.169927,-15.5389,15.1387,14.3768,-0.0812891,0.916509,14.6299,14.3372,13.9134,0.0828566,14.6023,14.3349,14.0055,0.0756207,0.819751,0.815107,5000,-0.00275814,-0.0034837,-0.00426851,0.000513284,-0.111778,-0.117396,-0.123905,0.00163199,0.894243,0.889234,0.883464,0.00145194
5,-0.00202819,-0.00233116,-0.00264024,0.000292739,-24.0043402049,24,-18.7287557868,-24.0043402049,-24.9686628873,1.59327737205,-0.091354107635,-0.119424578134,-0.127461648078,0.00799923512602,144,28944,201,201.0,201,0.0,0.996258,-0.0160055,-0.995834,0.592292,-22.7814980369,10,-19.1348518892,-22.7814980369,-24.7801258802,1.50882732175,-0.0876028265013,-0.113907490184,-0.126902929371,0.0103439051532,70,14000,201,200.0,191,3.0,14000,0.03933484300796408,169.73578088708746,78.05824592499994,26.588602322008228,0.030489060009131208,64.98131785806618,0.03759896999690682,1021.4234477546852,0.000191908999113366,0.8606151342391968,-0.502397358417511,-1.05209,-1.34691,-2.35113,0.153556,-19.7403,19.1827,18.5714,-0.114897,1.66453,19.0527,18.5903,17.9524,0.151398,19.0313,18.5919,17.9022,0.150144,2.67338,2.66294,6000,-0.00182918,-0.00231887,-0.0028656,0.00029622,-0.12248,-0.128401,-0.135278,0.00191943,0.884724,0.879503,0.873473,0.00168855
6,0.00519245,0.00106202,-0.00303723,0.0040945,-23.8679171423,24,-18.6022206804,-23.8679171423,-24.7845666578,1.59504629751,-0.091069491827,-0.11874585643,-0.127799223129,0.00804814649412,168,33768,201,201.0,201,0.0,0.991609,-0.0195091,-0.997125,0.587755,-23.2547940252,10,-18.8917784627,-23.2547940252,-25.1067411919,1.65342217823,-0.063808848961,-0.116273970126,-0.129242198276,0.0114588571078,80,16000,201,200.0,191,3.0,16000,0.054000288000679575,157.2095595291321,68.48571569600608,25.351916510000592,0.03497090100427158,63.24782949112705,0.034969086991623044,1180.1662305104983,0.0001575560017954558,0.835173487663269,-0.6069647073745728,-1.04272,-1.36986,-2.69267,0.175029,-23.7043,23.5063,22.5178,-0.121427,2.02037,23.2881,22.5758,21.659,0.201651,23.3072,22.575,21.6275,0.202698,4.04214,4.0426,7000,0.00529381,0.0010622,-0.00319062,0.0040938,-0.118732,-0.129459,-0.13658,0.00278103,0.888046,0.878574,0.872337,0.00244372
7,0.000848429,-0.00456092,-0.00995969,0.00538204,-24.0178744789,24,-18.6232410518,-24.0178744789,-24.9845100093,1.64188608355,-0.0916726659636,-0.119491912831,-0.125672950412,0.00825825637801,192,38592,201,201.0,201,0.0,0.99468,0.00641756,-0.999304,0.591598,-23.1739401457,10,-18.7528021598,-23.1739401457,-25.3988890183,1.86976832379,-0.0636175429753,-0.115869700728,-0.128392209681,0.0140059534213,90,18000,201,200.0,191,3.0,18000,0.04506712699367199,144.34659799504152,63.97508821899828,27.540120471006958,0.027858706991537474,52.72368863305019,0.03460744699987117,1325.9479863934976,0.00016739100101403892,0.8104910850524902,-0.7073572278022766,-1.04284,-1.36653,-2.41639,0.161101,-27.3305,27.3667,26.2411,-0.124332,1.67896,27.2903,26.2371,24.9616,0.307236,27.3934,26.2367,24.9112,0.306506,2.72903,2.71111,8000,0.000944643,-0.00455947,-0.0102915,0.00538076,-0.121865,-0.128275,-0.133876,0.00177089,0.885268,0.879613,0.874698,0.00155809
8,0.000771825,-0.0060245,-0.0128731,0.00677895,-24.1112732792,24,-18.6810867917,-24.1112732792,-25.2069608556,1.63587437828,-0.0917820713444,-0.119956583479,-0.127365151958,0.00817133361369,216,43416,201,201.0,201,0.0,0.998359,-0.0104972,-0.997625,0.588133,-22.5503912257,10,-17.4058189927,-22.5503912257,-25.0937131809,2.56012313738,-0.084316030969,-0.112751956129,-0.127480275069,0.0128594117692,100,20000,201,200.0,191,3.0,20000,0.046328819007612765,136.8913914697332,61.42827408500307,26.222257838991936,0.02750987999024801,49.13427266974759,0.032583804000751115,1464.2755679925322,0.00016437299200333655,0.7865381836891174,-0.8084482550621033,-1.0466,-1.36693,-1.95541,0.13739,-30.6073,30.6613,29.3574,-0.120097,3.2264,30.4191,29.5438,28.3065,0.333503,30.3566,29.5433,28.2783,0.330785,10.1642,10.1938,9000,0.00083913,-0.00601901,-0.0132536,0.00677602,-0.122254,-0.130579,-0.135937,0.00197905,0.884924,0.877589,0.872897,0.00173719
9,0.026045,0.0105556,-0.0048326,0.0153714,-24.4406766366,24,-23.7032611194,-24.4406766366,-24.809842034,0.314254961874,-0.115802713929,-0.121595406152,-0.126596462466,0.00192102260684,240,48240,201,201.0,201,0.0,0.994652,0.00979061,-0.995323,0.590882,-23.5298901263,10,-21.7640351544,-23.5298901263,-24.5769717864,1.0229193827,-0.0965769519416,-0.117649450632,-0.124703284842,0.00625565569331,110,22000,201,200.0,191,3.0,22000,0.03846037600305863,131.41553566115908,61.53752534800151,25.29939779000415,0.028578775003552437,44.476845040146145,0.03456752600322943,1597.1220077378384,0.0001608059974387288,0.7632945775985718,-0.9097830057144165,-1.03364,-1.36818,-2.15431,0.159025,-33.5432,35.2604,32.5343,-0.10086,2.09262,33.4871,32.5084,30.0687,0.420894,33.4805,32.5083,30.1085,0.41983,4.18673,4.17174,10000,0.0265157,0.0105293,-0.00496486,0.0153327,-0.128743,-0.133366,-0.137171,0.00134819,0.8792,0.875146,0.871821,0.00118022
