Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,7.84633e-06,2.63666e-06,-1.01763e-06,1.74123e-06,-23.9580600557,24,-18.673093754,-23.9580600557,-25.1175213094,1.59702329717,-0.0923396494292,-0.119194328635,-0.128491914536,0.00800916366566,24,4824,201,201.0,201,0.0,0.999066,0.00714062,-0.998818,0.633969,-23.2050818949,5,-22.2499046698,-23.2050818949,-24.6453772015,0.860022231703,-0.0908607584259,-0.116025409474,-0.124866147864,0.00728754210353,10,2000,201,200.0,196,2.0,2000,0.01822129100037273,87.93237177684205,59.52779071900295,11.900026314004208,0.03215541399549693,16.416134644838166,0.037906914003542624,100.95931532862596,0.0001364799973089248,1.0,-0.0,-0.567005,-1.3071,-2.52532,0.325044,-1.30721,1.72101,1.21548,-0.0755343,0.310835,0.000644989,0.000298498,1.42304e-05,0.000136414,0.000491757,0.000119544,-0.000161962,0.000122298,1.57327,1.57371,1000,2.69164e-05,2.3515e-06,-1.33945e-05,4.7537e-06,0.000629823,-9.05237e-05,-0.000806478,0.000695106,1.00063,0.99991,0.999194,0.000695043
1,0.000905891,0.000166897,-0.000558532,0.00067984,-24.5591632716,24,-24.0003739555,-24.5591632716,-24.9967111221,0.228571351662,-0.115800589242,-0.122184891899,-0.128901717646,0.00160203907064,48,9648,201,201.0,201,0.0,0.996106,0.00904787,-0.992474,0.581365,-22.0240594208,5,-18.639313775,-22.0240594208,-25.1402312465,2.72792383352,-0.0704706341459,-0.110120297104,-0.127855315973,0.0170553700219,15,3000,201,200.0,196,2.0,3000,0.016599356997176073,85.97771598417603,58.28796649001015,11.573014815992792,0.022516003999044187,16.047468391174334,0.030029515008209273,188.13318691051973,0.00012141099432483315,0.7405860424041748,-1.0190883874893188,-1.09569,-1.39342,-3.56573,0.213481,-5.16839,5.81002,4.1795,3.91846,0.174822,4.2939,4.14146,3.77703,0.0752203,4.29379,4.14542,3.92028,0.0644895,0.0357331,0.0332121,2000,0.000998072,0.000162681,-0.00067121,0.00070423,-0.129328,-0.138492,-0.147459,0.00296828,0.878685,0.870674,0.862898,0.00258404
2,0.00524502,-0.00581308,-0.0168744,0.0109881,-23.9685408091,24,-18.8660729199,-23.9685408091,-24.7200227412,1.52080618601,-0.093187029159,-0.119246471687,-0.124448578349,0.00764476706182,72,14472,201,201.0,201,0.0,0.993995,-0.0106323,-0.997933,0.602417,-22.1934771777,5,-18.8889845852,-22.1934771777,-24.6247165303,1.93471029975,-0.0644452167423,-0.110967385889,-0.12595504946,0.0148431613036,20,4000,201,200.0,196,2.0,4000,0.014814775990089402,85.04117963270983,57.15272118899156,11.77163696999196,0.022171243996126577,16.047259673738154,0.032441930001368746,274.37687013136747,0.0001338500005658716,0.5486243963241577,-2.02524471282959,-0.988882,-1.37349,-2.88909,0.194032,-7.90642,7.67321,7.1677,-0.122962,0.671314,7.55066,7.16105,6.30144,0.217113,7.55322,7.16372,6.24193,0.215524,0.374739,0.371455,3000,0.00549476,-0.00584598,-0.0176044,0.0110293,-0.105596,-0.116819,-0.124034,0.00279472,0.899788,0.88975,0.88335,0.00248858
3,0.00197815,-0.000665053,-0.00325707,0.00242879,-23.9839558908,24,-18.6974053539,-23.9839558908,-24.7792954858,1.62258968659,-0.0920147077075,-0.119323163636,-0.125112176536,0.00812664145133,96,19296,201,201.0,201,0.0,0.99279,-0.0165013,-0.995003,0.591418,-23.0031359969,5,-16.0921517906,-23.0031359969,-24.9864161525,3.46433214033,-0.0538792329473,-0.115015679984,-0.12652744109,0.0207677317963,25,5000,201,200.0,196,2.0,5000,0.021790300990687683,84.20292499789502,56.66041993400722,11.491301851987373,0.02478171300026588,15.972036944905994,0.03245464300562162,359.8140810349578,0.00013960999785922468,0.40644288063049316,-3.036573886871338,-0.971548,-1.3728,-2.45179,0.19323,-9.78237,10.6215,9.24235,-0.125519,0.702821,10.7047,9.2427,7.5701,0.415317,10.7297,9.23334,7.57903,0.419366,0.404848,0.401517,4000,0.00242008,-0.000664219,-0.00368781,0.00244691,-0.0854935,-0.101611,-0.129499,0.00706107,0.918059,0.903404,0.878535,0.00635977
4,0.0119593,-0.00165982,-0.0150216,0.0131514,-24.2429944445,24,-18.9380233194,-24.2429944445,-24.8513059575,1.13683304079,-0.0926142434916,-0.120611912659,-0.126712071507,0.00575840214663,120,24120,201,201.0,201,0.0,0.995357,-0.0246814,-0.995977,0.605209,-18.8262542424,5,-14.4357444155,-18.8262542424,-23.3804398454,3.3711406192,-0.0628004981739,-0.0941312712121,-0.123814037366,0.0191870529425,30,6000,201,200.0,196,2.0,6000,0.02039348600374069,84.45535837186617,56.815586966011324,11.587358923992724,0.02370574200176634,15.976774669848965,0.03141680400585756,445.48747898505826,0.00012178000179119408,0.3011353611946106,-4.048897743225098,-0.864244,-1.37353,-2.76644,0.22133,-10.9698,12.4505,10.5391,-0.0635373,0.893495,12.4197,10.5763,8.31039,0.612235,12.641,10.5745,8.39336,0.610914,0.565979,0.590713,5000,0.0132578,-0.00182124,-0.019639,0.0132878,-0.0533386,-0.0745727,-0.110746,0.0116435,0.948059,0.928203,0.895166,0.0107785
5,0.0203574,0.00794561,0.00177376,0.00622828,-23.7750963243,24,-18.4132471815,-23.7750963243,-24.9784634884,1.94179181903,-0.0895118287546,-0.118284061315,-0.126415360667,0.00971185297616,144,28944,201,201.0,201,0.0,0.99511,0.0236259,-0.995324,0.613075,-23.0639310994,5,-22.3198717586,-23.0639310994,-23.9592665461,0.605083651016,-0.0898897786243,-0.115319655497,-0.125244764423,0.00702225835907,35,7000,201,200.0,196,2.0,7000,0.016577674003201537,88.23847356603073,58.88624645800155,12.041662540999823,0.02435960499860812,17.239777434035204,0.029706478002481163,535.0024969392398,0.00014337598986458033,0.2231224775314331,-4.993374347686768,-0.699473,-1.32884,-1.92167,0.211335,-11.316,13.4528,11.0386,-0.102096,0.974193,13.3754,11.0361,8.58661,0.696912,13.4114,11.0411,8.5566,0.70033,0.540769,0.528168,6000,0.0470388,0.00753747,-0.0786953,0.0159974,-0.0399039,-0.0725943,-0.187538,0.0243811,0.960882,0.93025,0.828997,0.0221355
6,0.0479204,0.0101365,-0.0162061,0.0157585,-24.2798807074,24,-18.8598194197,-24.2798807074,-24.7629847662,1.14987810656,-0.0922732436882,-0.120795426405,-0.125318014363,0.00578357147857,168,33768,201,201.0,201,0.0,0.996133,-0.00301922,-0.998082,0.623285,-22.1885656579,5,-19.4566487542,-22.1885656579,-23.9911620236,1.79503532734,-0.0689926050613,-0.110942828289,-0.126694411882,0.013652154874,40,8000,201,200.0,196,2.0,8000,0.01578368899936322,84.90486605916522,57.077803731008316,11.432909920986276,0.021710369997890666,16.326688199173077,0.029846856006770395,621.164685290205,0.00012329299352131784,0.16534888744354248,-5.970052719116211,-0.267226,-1.31725,-1.82527,0.256897,-11.41,13.9052,11.1331,-0.109131,1.37088,14.2082,11.2076,7.18965,1.01296,14.0941,11.2146,7.02235,1.00042,0.597225,0.574834,7000,0.220418,0.00177193,-0.316893,0.059553,-0.0200697,-0.05208,-0.20052,0.0296902,0.98013,0.949665,0.818305,0.0275142
7,0.0604574,-0.00586804,-0.083774,0.0247151,-23.8001309112,24,-18.4288381581,-23.8001309112,-24.8760775169,1.95496872364,-0.0903810220111,-0.118408611499,-0.125585677194,0.0097633442853,192,38592,201,201.0,201,0.0,0.997592,-0.000668892,-0.998381,0.622712,-22.445098423,5,-18.3159113795,-22.445098423,-24.3512038087,2.28306357061,-0.0923490116325,-0.112225492115,-0.125796881529,0.0115785576911,45,9000,201,200.0,196,2.0,9000,0.015494566992856562,83.95730439190811,55.33431018400006,10.917339362000348,0.02356878900900483,17.634874364899588,0.031571419996907935,706.4356255523016,0.00014570500934496522,0.12259525805711746,-6.997365474700928,0.230549,-1.33388,-2.28653,0.342251,-10.9323,13.8804,10.8132,-0.114544,1.48574,13.7856,10.7856,6.78065,1.15271,13.8375,10.7866,6.66798,1.162,0.605559,0.598411,8000,0.410404,-0.0129383,-0.545972,0.107885,0.0871103,-0.0442919,-0.218354,0.038663,1.09102,0.957382,0.803841,0.0364255
8,0.0636608,0.0174012,-0.0913444,0.0437702,-24.2442299072,24,-18.7603903176,-24.2442299072,-24.7837444781,1.16866055629,-0.0924977100995,-0.12061805924,-0.126589222613,0.00590020918737,216,43416,201,201.0,201,0.0,0.996117,-0.00400907,-0.998157,0.609946,-23.9091038252,5,-22.5064919797,-23.9091038252,-24.7427833988,0.825612250532,-0.0996638977176,-0.119545519126,-0.126175866206,0.00447503360542,50,10000,201,200.0,196,2.0,10000,0.019217433989979327,83.19181296325405,54.409211995996884,11.675314605003223,0.021743704986874945,17.032192718281294,0.03400353899633046,790.9050043874449,0.00012896599946543574,0.09094004333019257,-7.923083305358887,-0.0471354,-1.30465,-2.01968,0.35135,-10.4808,13.1573,10.4462,6.47036,1.13773,13.1248,10.3781,6.07232,1.14022,13.1455,10.3693,5.88416,1.15087,0.0172011,0.0216665,9000,0.596955,0.00488508,-0.65418,0.135419,0.245925,-0.0336471,-0.228583,0.057115,1.2788,0.968493,0.79566,0.055574
9,0.187749,0.121936,0.00516649,0.026867,-24.2957816786,24,-18.6563648809,-24.2957816786,-25.0690574439,1.20001813748,-0.0914390775846,-0.120874535714,-0.126186341816,0.00604009675205,240,48240,201,201.0,201,0.0,0.991796,0.0871822,-0.997716,0.607756,-23.163303752,5,-18.8649325571,-23.163303752,-24.7886049264,2.20048991737,-0.0920995945574,-0.11581651876,-0.125880918776,0.0112596431706,55,11000,201,200.0,196,2.0,11000,0.01698813700932078,89.3270078759233,59.96564966000733,11.969316848990275,0.0224243109987583,17.32261460290465,0.029886173011618666,881.5138636974734,0.00012814300134778023,0.06750264018774033,-8.745478630065918,0.5179,-1.24437,-2.10266,0.420122,-9.98807,12.6196,9.93474,6.18986,1.15752,12.6094,9.91529,5.95383,1.15587,12.6625,9.91305,6.02119,1.15847,0.0280258,0.0311818,10000,0.736818,0.0975484,-0.734315,0.183636,0.23278,-0.0532067,-0.374231,0.0839061,1.2621,0.951556,0.687818,0.0810613
